Date,Open,High,Low,Close
12/30/1994,"459.27","462.12","459.24","459.27"
12/29/1994,"461.16","461.81","460.36","461.16"
12/28/1994,"460.86","462.49","459.00","460.86"
12/27/1994,"462.47","462.73","459.83","462.47"
12/23/1994,"459.83","461.32","459.39","459.83"
12/22/1994,"459.67","461.21","459.33","459.67"
12/21/1994,"459.61","461.70","457.10","459.61"
12/20/1994,"457.10","458.45","456.37","457.10"
12/19/1994,"457.91","458.80","456.64","457.91"
12/16/1994,"458.80","458.80","455.34","458.80"
12/15/1994,"455.34","456.84","454.50","455.34"
12/14/1994,"454.97","456.16","450.05","454.97"
12/13/1994,"450.15","451.69","449.43","450.15"
12/12/1994,"449.47","449.48","445.62","449.47"
12/09/1994,"446.96","446.98","442.88","446.96"
12/08/1994,"445.45","452.06","444.59","445.45"
12/07/1994,"451.23","453.11","450.01","451.23"
12/06/1994,"453.11","453.93","450.35","453.11"
12/05/1994,"453.32","455.04","452.06","453.32"
12/02/1994,"453.30","453.31","448.00","453.30"
12/01/1994,"448.92","453.91","447.97","448.92"
11/30/1994,"453.69","457.13","453.27","453.69"
11/29/1994,"455.17","455.17","452.14","455.17"
11/28/1994,"454.16","454.19","451.04","454.16"
11/25/1994,"452.29","452.87","449.90","452.29"
11/23/1994,"449.93","450.64","444.18","449.93"
11/22/1994,"450.09","458.30","450.08","450.09"
11/21/1994,"458.30","463.41","457.55","458.30"
11/18/1994,"461.47","463.84","460.25","461.47"
11/17/1994,"463.56","465.83","461.47","463.56"
11/16/1994,"465.60","466.25","464.28","465.60"
11/15/1994,"465.03","468.51","462.95","465.03"
11/14/1994,"466.04","466.29","462.35","466.04"
11/11/1994,"462.35","464.37","461.45","462.35"
11/10/1994,"464.37","467.79","463.73","464.37"
11/09/1994,"465.40","469.95","463.44","465.40"
11/08/1994,"465.65","467.54","463.07","465.65"
11/07/1994,"463.07","463.56","461.25","463.07"
11/04/1994,"462.28","469.28","462.28","462.28"
11/03/1994,"467.91","468.64","466.40","467.91"
11/02/1994,"466.50","470.92","466.36","466.50"
11/01/1994,"468.42","472.35","467.64","468.42"
10/31/1994,"472.35","474.74","472.33","472.35"
10/28/1994,"473.77","473.78","465.80","473.77"
10/27/1994,"465.85","465.85","462.62","465.85"
10/26/1994,"462.62","463.77","461.22","462.62"
10/25/1994,"461.53","461.95","458.26","461.53"
10/24/1994,"460.83","466.37","460.80","460.83"
10/21/1994,"464.89","466.85","463.83","464.89"
10/20/1994,"466.85","470.37","465.39","466.85"
10/19/1994,"470.28","471.43","465.96","470.28"
10/18/1994,"467.66","469.19","466.54","467.66"
10/17/1994,"468.96","469.88","468.16","468.96"
10/14/1994,"469.10","469.53","466.11","469.10"
10/13/1994,"467.77","471.30","465.47","467.77"
10/12/1994,"465.47","466.70","464.79","465.47"
10/11/1994,"465.79","466.34","459.04","465.79"
10/10/1994,"459.04","459.29","455.10","459.04"
10/07/1994,"455.10","455.67","452.13","455.10"
10/06/1994,"452.36","454.49","452.13","452.36"
10/05/1994,"453.52","454.59","449.27","453.52"
10/04/1994,"454.59","462.46","454.03","454.59"
10/03/1994,"461.74","463.31","460.33","461.74"
09/30/1994,"462.69","465.30","461.91","462.69"
09/29/1994,"462.24","464.84","461.51","462.24"
09/28/1994,"464.84","465.55","462.05","464.84"
09/27/1994,"462.05","462.75","459.83","462.05"
09/26/1994,"460.82","460.87","459.31","460.82"
09/23/1994,"459.67","462.14","459.01","459.67"
09/22/1994,"461.27","463.22","460.96","461.27"
09/21/1994,"461.46","464.02","458.47","461.46"
09/20/1994,"463.36","470.85","463.36","463.36"
09/19/1994,"470.85","473.15","470.68","470.85"
09/16/1994,"471.19","474.81","470.06","471.19"
09/15/1994,"474.81","474.81","468.79","474.81"
09/14/1994,"468.80","468.86","466.82","468.80"
09/13/1994,"467.51","468.76","466.21","467.51"
09/12/1994,"466.21","468.42","466.15","466.21"
09/09/1994,"468.18","473.14","466.55","468.18"
09/08/1994,"473.14","473.40","470.86","473.14"
09/07/1994,"470.96","472.41","470.20","470.96"
09/06/1994,"471.86","471.92","469.64","471.86"
09/02/1994,"470.99","474.89","470.67","470.99"
09/01/1994,"473.17","475.49","471.74","473.17"
08/31/1994,"475.49","477.59","474.43","475.49"
08/30/1994,"476.07","476.61","473.56","476.07"
08/29/1994,"474.59","477.14","473.80","474.59"
08/26/1994,"473.80","474.65","468.08","473.80"
08/25/1994,"468.08","470.12","467.64","468.08"
08/24/1994,"469.03","469.05","464.51","469.03"
08/23/1994,"464.51","466.58","462.32","464.51"
08/22/1994,"462.32","463.68","461.46","462.32"
08/19/1994,"463.68","464.37","461.81","463.68"
08/18/1994,"463.17","465.17","462.30","463.17"
08/17/1994,"465.17","465.91","464.57","465.17"
08/16/1994,"465.01","465.20","459.89","465.01"
08/15/1994,"461.23","463.34","461.21","461.23"
08/12/1994,"461.94","462.27","458.87","461.94"
08/11/1994,"458.88","461.41","456.88","458.88"
08/10/1994,"460.30","460.48","457.93","460.30"
08/09/1994,"457.93","458.16","456.66","457.93"
08/08/1994,"457.89","458.30","457.01","457.89"
08/05/1994,"457.09","458.40","456.08","457.09"
08/04/1994,"458.40","461.49","458.40","458.40"
08/03/1994,"461.45","461.46","459.51","461.45"
08/02/1994,"460.56","462.77","459.70","460.56"
08/01/1994,"461.01","461.01","458.08","461.01"
07/29/1994,"458.26","459.33","454.23","458.26"
07/28/1994,"454.23","454.93","452.30","454.23"
07/27/1994,"452.57","453.38","451.36","452.57"
07/26/1994,"453.36","454.25","452.78","453.36"
07/25/1994,"454.25","454.32","452.76","454.25"
07/22/1994,"453.11","454.03","452.33","453.11"
07/21/1994,"452.61","453.22","451.00","452.61"
07/20/1994,"451.60","454.16","450.69","451.60"
07/19/1994,"453.86","455.30","453.86","453.86"
07/18/1994,"455.22","455.71","453.26","455.22"
07/15/1994,"454.16","454.33","452.80","454.16"
07/14/1994,"453.41","454.33","448.73","453.41"
07/13/1994,"448.73","450.06","447.95","448.73"
07/12/1994,"447.95","448.16","444.65","447.95"
07/11/1994,"448.06","450.24","445.27","448.06"
07/08/1994,"449.55","449.75","446.53","449.55"
07/07/1994,"448.38","448.64","446.13","448.38"
07/06/1994,"446.13","447.28","444.18","446.13"
07/05/1994,"446.37","447.62","445.14","446.37"
07/01/1994,"446.20","446.45","443.58","446.20"
06/30/1994,"444.27","448.61","443.66","444.27"
06/29/1994,"447.63","449.83","446.04","447.63"
06/28/1994,"446.07","448.47","443.08","446.07"
06/27/1994,"447.31","447.76","439.83","447.31"
06/24/1994,"442.80","449.63","442.51","442.80"
06/23/1994,"449.63","454.16","449.43","449.63"
06/22/1994,"453.09","453.91","451.34","453.09"
06/21/1994,"451.34","455.48","449.45","451.34"
06/20/1994,"455.48","458.45","454.46","455.48"
06/17/1994,"458.45","462.16","458.44","458.45"
06/16/1994,"461.93","461.93","459.80","461.93"
06/15/1994,"460.61","463.23","459.95","460.61"
06/14/1994,"462.37","462.52","459.10","462.37"
06/13/1994,"459.10","459.36","457.18","459.10"
06/10/1994,"458.67","459.48","457.36","458.67"
06/09/1994,"457.86","457.87","455.86","457.86"
06/08/1994,"457.06","459.74","455.43","457.06"
06/07/1994,"458.21","459.46","457.65","458.21"
06/06/1994,"458.88","461.87","458.85","458.88"
06/03/1994,"460.13","460.86","456.27","460.13"
06/02/1994,"457.65","458.50","457.26","457.65"
06/01/1994,"457.63","458.29","453.99","457.63"
05/31/1994,"456.50","457.61","455.16","456.50"
05/27/1994,"457.33","457.33","454.67","457.33"
05/26/1994,"457.06","457.77","455.79","457.06"
05/25/1994,"456.34","456.34","452.20","456.34"
05/24/1994,"454.81","456.77","453.20","454.81"
05/23/1994,"453.20","454.92","451.79","453.20"
05/20/1994,"454.92","456.48","454.22","454.92"
05/19/1994,"456.48","456.88","453.00","456.48"
05/18/1994,"453.69","454.45","448.87","453.69"
05/17/1994,"449.37","449.37","443.70","449.37"
05/16/1994,"444.49","445.82","443.62","444.49"
05/13/1994,"444.14","444.72","441.21","444.14"
05/12/1994,"443.75","444.80","441.49","443.75"
05/11/1994,"441.49","446.03","440.78","441.49"
05/10/1994,"446.01","446.84","442.32","446.01"
05/09/1994,"442.32","447.82","441.84","442.32"
05/06/1994,"447.82","451.38","445.64","447.82"
05/05/1994,"451.38","452.82","450.72","451.38"
05/04/1994,"451.72","453.11","449.87","451.72"
05/03/1994,"453.03","453.98","450.51","453.03"
05/02/1994,"453.02","453.57","449.05","453.02"
04/29/1994,"450.91","451.35","447.91","450.91"
04/28/1994,"449.10","452.23","447.97","449.10"
04/26/1994,"451.87","452.79","450.66","451.87"
04/25/1994,"452.71","452.71","447.58","452.71"
04/22/1994,"447.63","449.96","447.16","447.63"
04/21/1994,"448.73","449.14","441.96","448.73"
04/20/1994,"441.96","445.01","439.40","441.96"
04/19/1994,"442.54","444.82","438.83","442.54"
04/18/1994,"442.46","447.87","441.48","442.46"
04/15/1994,"446.18","447.85","445.81","446.18"
04/14/1994,"446.38","447.55","443.57","446.38"
04/13/1994,"446.26","448.57","442.62","446.26"
04/12/1994,"447.57","450.80","447.33","447.57"
04/11/1994,"449.87","450.34","447.10","449.87"
04/08/1994,"447.10","450.89","445.51","447.10"
04/07/1994,"450.88","451.10","446.38","450.88"
04/06/1994,"448.05","449.63","444.98","448.05"
04/05/1994,"448.29","448.29","438.92","448.29"
04/04/1994,"438.92","445.77","435.86","438.92"
03/31/1994,"445.77","447.16","436.16","445.77"
03/30/1994,"445.55","452.49","445.55","445.55"
03/29/1994,"452.48","460.32","452.43","452.48"
03/28/1994,"460.00","461.12","456.10","460.00"
03/25/1994,"460.58","465.29","460.58","460.58"
03/24/1994,"464.35","468.57","462.41","464.35"
03/23/1994,"468.54","470.38","468.52","468.54"
