Date,Open,High,Low,Close
12/31/1996,"740.74","753.95","740.74","740.74"
12/30/1996,"753.85","759.20","752.73","753.85"
12/27/1996,"756.79","758.75","754.82","756.79"
12/26/1996,"755.82","757.07","751.03","755.82"
12/24/1996,"751.03","751.03","746.92","751.03"
12/23/1996,"746.92","750.40","743.28","746.92"
12/20/1996,"748.87","755.41","745.76","748.87"
12/19/1996,"745.76","746.06","731.54","745.76"
12/18/1996,"731.54","732.76","726.04","731.54"
12/17/1996,"726.04","727.67","716.69","726.04"
12/16/1996,"720.98","732.68","719.40","720.98"
12/13/1996,"728.64","736.22","718.98","728.64"
12/12/1996,"729.33","744.86","729.30","729.33"
12/11/1996,"740.73","747.54","732.75","740.73"
12/10/1996,"747.54","753.43","747.02","747.54"
12/09/1996,"749.81","749.76","739.60","749.81"
12/06/1996,"739.60","744.38","726.98","739.60"
12/05/1996,"744.38","747.65","742.61","744.38"
12/04/1996,"745.10","748.40","738.46","745.10"
12/03/1996,"748.28","761.75","747.58","748.28"
12/02/1996,"756.56","757.03","751.49","756.56"
11/29/1996,"757.02","758.27","755.00","757.02"
11/27/1996,"755.00","757.30","753.18","755.00"
11/26/1996,"755.96","762.12","752.83","755.96"
11/25/1996,"757.03","757.05","747.99","757.03"
11/22/1996,"748.73","748.73","742.75","748.73"
11/21/1996,"742.75","745.20","741.08","742.75"
11/20/1996,"743.95","746.99","740.40","743.95"
11/19/1996,"742.16","742.18","736.87","742.16"
11/18/1996,"737.02","739.24","734.39","737.02"
11/15/1996,"737.62","741.92","735.15","737.62"
11/14/1996,"735.88","735.99","729.20","735.88"
11/13/1996,"731.13","732.11","728.03","731.13"
11/12/1996,"729.56","733.04","728.20","729.56"
11/11/1996,"731.87","732.60","729.94","731.87"
11/08/1996,"730.82","730.82","725.22","730.82"
11/07/1996,"727.65","729.49","722.23","727.65"
11/06/1996,"724.59","724.60","712.83","724.59"
11/05/1996,"714.14","714.56","706.73","714.14"
11/04/1996,"706.73","707.02","702.84","706.73"
11/01/1996,"703.77","708.60","701.30","703.77"
10/31/1996,"705.27","706.61","700.35","705.27"
10/30/1996,"700.90","703.44","700.05","700.90"
10/29/1996,"701.50","703.25","696.22","701.50"
10/28/1996,"697.26","705.40","697.25","697.26"
10/25/1996,"700.92","704.11","700.53","700.92"
10/24/1996,"702.29","708.25","702.11","702.29"
10/23/1996,"707.27","707.31","700.98","707.27"
10/22/1996,"706.57","709.85","704.55","706.57"
10/21/1996,"709.85","714.10","707.71","709.85"
10/18/1996,"710.82","711.04","706.11","710.82"
10/17/1996,"706.99","708.52","704.41","706.99"
10/16/1996,"704.41","704.42","699.15","704.41"
10/15/1996,"702.57","708.07","699.07","702.57"
10/14/1996,"703.54","705.16","700.66","703.54"
10/11/1996,"700.66","700.66","694.61","700.66"
10/10/1996,"694.61","696.82","693.34","694.61"
10/09/1996,"696.74","702.36","694.42","696.74"
10/08/1996,"700.64","705.76","699.88","700.64"
10/07/1996,"703.34","704.17","701.39","703.34"
10/04/1996,"701.46","701.74","692.78","701.46"
10/03/1996,"692.78","694.81","691.78","692.78"
10/02/1996,"694.01","694.82","689.08","694.01"
10/01/1996,"689.08","689.54","684.44","689.08"
09/30/1996,"687.31","690.11","686.03","687.31"
09/27/1996,"686.19","687.11","683.73","686.19"
09/26/1996,"685.86","690.15","683.77","685.86"
09/25/1996,"685.83","688.26","684.92","685.83"
09/24/1996,"685.61","690.88","683.54","685.61"
09/23/1996,"686.48","687.03","681.01","686.48"
09/20/1996,"687.03","687.07","683.00","687.03"
09/19/1996,"683.00","684.07","679.06","683.00"
09/18/1996,"681.47","683.77","679.75","681.47"
09/17/1996,"682.94","685.80","679.96","682.94"
09/16/1996,"683.98","686.48","680.53","683.98"
09/13/1996,"680.54","681.39","671.15","680.54"
09/12/1996,"671.15","673.07","667.28","671.15"
09/11/1996,"667.28","667.73","661.79","667.28"
09/10/1996,"663.81","665.57","661.55","663.81"
09/09/1996,"663.76","663.77","655.68","663.76"
09/06/1996,"655.68","658.21","649.44","655.68"
09/05/1996,"649.44","655.61","648.89","649.44"
09/04/1996,"655.61","655.82","652.93","655.61"
09/03/1996,"654.72","655.13","643.97","654.72"
08/30/1996,"651.99","657.71","650.52","651.99"
08/29/1996,"657.40","664.81","655.35","657.40"
08/28/1996,"664.81","667.41","664.39","664.81"
08/27/1996,"666.40","666.40","663.50","666.40"
08/26/1996,"663.88","667.03","662.36","663.88"
08/23/1996,"667.03","670.68","664.93","667.03"
08/22/1996,"670.68","670.68","664.88","670.68"
08/21/1996,"665.07","665.69","662.16","665.07"
08/20/1996,"665.69","666.99","665.15","665.69"
08/19/1996,"666.58","667.12","665.00","666.58"
08/16/1996,"665.21","666.34","662.26","665.21"
08/15/1996,"662.28","664.18","660.64","662.28"
08/14/1996,"662.05","662.42","658.47","662.05"
08/13/1996,"660.20","665.77","659.13","660.20"
08/12/1996,"665.77","665.77","658.95","665.77"
08/09/1996,"662.10","665.37","660.31","662.10"
08/08/1996,"662.59","664.17","661.28","662.59"
08/07/1996,"664.16","664.61","660.00","664.16"
08/06/1996,"662.38","662.75","656.83","662.38"
08/05/1996,"660.23","663.64","659.03","660.23"
08/02/1996,"662.49","662.49","650.02","662.49"
08/01/1996,"650.02","650.66","639.49","650.02"
07/31/1996,"639.95","640.54","633.74","639.95"
07/30/1996,"635.26","635.26","629.22","635.26"
07/29/1996,"630.91","635.90","630.90","630.91"
07/26/1996,"635.90","636.23","631.17","635.90"
07/25/1996,"631.17","633.57","626.65","631.17"
07/24/1996,"626.65","629.10","616.43","626.65"
07/23/1996,"626.87","637.71","625.65","626.87"
07/22/1996,"633.77","638.73","630.38","633.77"
07/19/1996,"638.73","643.56","635.50","638.73"
07/18/1996,"643.56","644.44","633.29","643.56"
07/17/1996,"634.07","636.61","628.37","634.07"
07/16/1996,"628.37","631.99","605.88","628.37"
07/15/1996,"629.80","646.19","629.69","629.80"
07/12/1996,"646.19","647.64","640.21","646.19"
07/11/1996,"645.67","656.06","639.52","645.67"
07/10/1996,"656.06","656.27","648.39","656.06"
07/09/1996,"654.75","656.60","652.54","654.75"
07/08/1996,"652.54","657.65","651.13","652.54"
07/05/1996,"657.44","672.40","657.41","657.44"
07/03/1996,"672.40","673.64","670.21","672.40"
07/02/1996,"673.61","675.88","672.55","673.61"
07/01/1996,"675.88","675.88","670.63","675.88"
06/28/1996,"670.63","672.68","668.55","670.63"
06/27/1996,"668.55","668.90","661.56","668.55"
06/26/1996,"664.39","668.49","663.67","664.39"
06/25/1996,"668.48","670.65","667.29","668.48"
06/24/1996,"668.85","671.07","666.84","668.85"
06/21/1996,"666.84","666.84","662.10","666.84"
06/20/1996,"662.10","664.96","658.75","662.10"
06/19/1996,"661.96","665.62","661.21","661.96"
06/18/1996,"662.06","666.36","661.34","662.06"
06/17/1996,"665.16","668.27","664.09","665.16"
06/14/1996,"665.85","668.40","664.35","665.85"
06/13/1996,"667.92","670.54","665.49","667.92"
06/12/1996,"669.04","673.67","668.77","669.04"
06/11/1996,"670.97","676.72","669.94","670.97"
06/10/1996,"672.16","673.61","670.15","672.16"
06/07/1996,"673.31","673.31","662.48","673.31"
06/06/1996,"673.03","680.32","673.02","673.03"
06/05/1996,"678.44","678.45","672.09","678.44"
06/04/1996,"672.56","672.60","667.68","672.56"
06/03/1996,"667.68","669.12","665.19","667.68"
05/31/1996,"669.12","673.46","667.00","669.12"
05/30/1996,"671.70","673.51","664.56","671.70"
05/29/1996,"667.93","673.73","666.09","667.93"
05/28/1996,"672.23","679.98","671.52","672.23"
05/24/1996,"678.51","679.72","676.00","678.51"
05/23/1996,"676.00","681.10","673.45","676.00"
05/22/1996,"678.42","678.42","671.23","678.42"
05/21/1996,"672.76","675.56","672.26","672.76"
05/20/1996,"673.15","673.66","667.64","673.15"
05/17/1996,"668.91","669.84","664.85","668.91"
05/16/1996,"664.85","667.11","662.79","664.85"
05/15/1996,"665.42","669.82","664.46","665.42"
05/14/1996,"665.60","666.96","661.51","665.60"
05/13/1996,"661.51","662.16","652.09","661.51"
