Date,Open,High,Low,Close
12/31/1981,"122.55","123.42","121.57","122.55"
12/30/1981,"122.30","123.11","121.04","122.30"
12/29/1981,"121.67","122.90","121.12","121.67"
12/28/1981,"122.27","123.36","121.73","122.27"
12/24/1981,"122.54","122.37","122.24","122.54"
12/23/1981,"122.31","123.59","121.58","122.31"
12/22/1981,"122.88","124.17","122.19","122.88"
12/21/1981,"123.34","124.71","122.67","123.34"
12/18/1981,"124.00","124.87","122.56","124.00"
12/17/1981,"123.12","123.79","121.62","123.12"
12/16/1981,"122.42","123.66","121.73","122.42"
12/15/1981,"122.99","123.78","122.99","122.99"
12/14/1981,"122.78","124.37","122.17","122.78"
12/11/1981,"124.93","126.28","124.32","124.93"
12/10/1981,"125.71","126.54","124.60","125.71"
12/09/1981,"125.48","126.08","124.09","125.48"
12/08/1981,"124.82","125.75","123.52","124.82"
12/07/1981,"125.19","126.91","124.67","125.19"
12/04/1981,"126.26","127.32","125.12","126.26"
12/03/1981,"125.12","125.89","123.63","125.12"
12/02/1981,"124.69","126.45","124.16","124.69"
12/01/1981,"126.10","127.50","124.84","126.10"
11/30/1981,"126.35","126.97","124.18","126.35"
11/27/1981,"125.09","125.08","124.21","125.09"
11/25/1981,"124.05","125.29","123.07","124.05"
11/24/1981,"123.51","122.16","122.07","123.51"
11/23/1981,"121.60","123.11","120.76","121.60"
11/20/1981,"121.71","122.59","120.13","121.71"
11/19/1981,"120.71","121.67","119.42","120.71"
11/18/1981,"120.26","121.86","119.61","120.26"
11/17/1981,"121.15","121.78","119.50","121.15"
11/16/1981,"120.24","121.64","119.13","120.24"
11/13/1981,"121.67","123.61","121.05","121.67"
11/12/1981,"123.19","124.71","122.19","123.19"
11/11/1981,"122.92","123.62","121.51","122.92"
11/10/1981,"122.70","124.69","122.01","122.70"
11/09/1981,"123.29","124.13","121.59","123.29"
11/06/1981,"122.67","124.03","121.85","122.67"
11/05/1981,"123.54","125.80","122.96","123.54"
11/04/1981,"124.74","126.00","123.64","124.74"
11/03/1981,"124.80","125.52","123.14","124.80"
11/02/1981,"124.20","125.14","122.35","124.20"
10/30/1981,"121.89","122.53","118.43","121.89"
10/29/1981,"119.06","120.37","118.14","119.06"
10/28/1981,"119.45","120.96","118.39","119.45"
10/27/1981,"119.29","120.43","117.80","119.29"
10/26/1981,"118.16","119.00","116.81","118.16"
10/23/1981,"118.60","119.00","118.63","118.60"
10/22/1981,"119.64","120.78","118.48","119.64"
10/21/1981,"120.10","129.14","119.35","120.10"
10/20/1981,"120.28","121.29","118.78","120.28"
10/19/1981,"118.98","119.85","117.58","118.98"
10/16/1981,"119.19","120.46","118.38","119.19"
10/15/1981,"119.71","120.56","118.01","119.71"
10/14/1981,"118.80","120.97","118.38","118.80"
10/13/1981,"120.78","122.37","119.98","120.78"
10/12/1981,"121.21","122.37","120.17","121.21"
10/09/1981,"121.45","123.28","120.63","121.45"
10/08/1981,"122.31","123.08","120.23","122.31"
10/07/1981,"121.31","121.87","119.09","121.31"
10/06/1981,"119.39","121.39","118.08","119.39"
10/05/1981,"119.51","121.54","118.61","119.51"
10/02/1981,"119.36","120.16","117.07","119.36"
10/01/1981,"117.08","117.66","115.00","117.08"
09/30/1981,"116.18","117.05","114.60","116.18"
09/29/1981,"115.94","117.75","114.75","115.94"
09/28/1981,"115.53","115.83","110.19","115.53"
09/25/1981,"112.77","114.69","111.64","112.77"
09/24/1981,"115.01","117.47","114.32","115.01"
09/23/1981,"115.65","116.68","113.60","115.65"
09/22/1981,"116.68","118.19","115.93","116.68"
09/21/1981,"117.24","118.07","115.04","117.24"
09/18/1981,"116.26","117.69","115.16","116.26"
09/17/1981,"117.15","119.87","116.63","117.15"
09/16/1981,"118.87","120.00","117.89","118.87"
09/15/1981,"119.77","121.77","119.27","119.77"
09/14/1981,"120.66","122.00","119.67","120.66"
09/11/1981,"121.61","122.13","119.29","121.61"
09/10/1981,"120.14","122.18","118.33","120.14"
09/09/1981,"118.40","118.78","117.74","118.40"
09/08/1981,"117.98","120.12","116.85","117.98"
09/04/1981,"120.07","121.54","119.24","120.07"
09/03/1981,"121.24","124.16","120.82","121.24"
09/02/1981,"123.49","124.58","122.54","123.49"
09/01/1981,"123.02","123.92","121.59","123.02"
08/31/1981,"122.79","125.58","122.29","122.79"
08/28/1981,"124.08","125.09","122.85","124.08"
08/27/1981,"123.51","125.31","122.90","123.51"
08/26/1981,"124.96","126.17","123.99","124.96"
08/25/1981,"125.13","125.77","123.00","125.13"
08/24/1981,"125.50","128.59","125.02","125.50"
08/21/1981,"129.23","131.06","128.70","129.23"
08/20/1981,"130.69","131.74","124.84","130.69"
08/19/1981,"130.49","131.20","128.99","130.49"
08/18/1981,"130.11","131.75","129.10","130.11"
08/17/1981,"131.22","132.19","131.62","131.22"
08/14/1981,"132.49","134.33","131.91","132.49"
08/13/1981,"133.51","134.58","132.51","133.51"
