Date,Open,High,Low,Close
12/31/1999,"1,469.25","1,472.42","1,463.41","1,469.25"
12/30/1999,"1,464.47","1,473.13","1,462.60","1,464.47"
12/29/1999,"1,463.46","1,465.98","1,457.66","1,463.46"
12/28/1999,"1,457.66","1,462.68","1,452.74","1,457.66"
12/27/1999,"1,457.10","1,463.14","1,450.73","1,457.10"
12/23/1999,"1,458.34","1,461.44","1,436.13","1,458.34"
12/22/1999,"1,436.13","1,440.22","1,429.18","1,436.13"
12/21/1999,"1,433.43","1,436.45","1,414.87","1,433.43"
12/20/1999,"1,418.09","1,429.21","1,410.97","1,418.09"
12/17/1999,"1,421.03","1,431.13","1,418.78","1,421.03"
12/16/1999,"1,418.78","1,421.88","1,408.36","1,418.78"
12/15/1999,"1,413.32","1,417.40","1,396.20","1,413.32"
12/14/1999,"1,403.17","1,418.36","1,401.59","1,403.17"
12/13/1999,"1,415.22","1,421.51","1,410.12","1,415.22"
12/10/1999,"1,417.04","1,421.58","1,405.57","1,417.04"
12/09/1999,"1,408.11","1,408.11","1,408.11","1,408.11"
12/08/1999,"1,403.88","1,415.65","1,403.80","1,403.88"
12/07/1999,"1,409.17","1,426.60","1,409.17","1,409.17"
12/06/1999,"1,423.33","1,434.19","1,418.25","1,423.33"
12/03/1999,"1,433.30","1,447.54","1,409.04","1,433.30"
12/02/1999,"1,409.04","1,409.04","1,397.72","1,409.04"
12/01/1999,"1,397.72","1,400.02","1,387.48","1,397.72"
11/30/1999,"1,388.91","1,410.59","1,386.95","1,388.91"
11/29/1999,"1,407.83","1,416.62","1,404.16","1,407.83"
11/26/1999,"1,416.62","1,425.25","1,416.14","1,416.62"
11/24/1999,"1,417.08","1,419.68","1,399.18","1,417.08"
11/23/1999,"1,404.64","1,423.91","1,402.20","1,404.64"
11/22/1999,"1,420.94","1,425.00","1,412.40","1,420.94"
11/19/1999,"1,422.00","1,424.94","1,417.54","1,422.00"
11/18/1999,"1,424.94","1,425.31","1,410.71","1,424.94"
11/17/1999,"1,410.71","1,423.44","1,410.52","1,410.71"
11/16/1999,"1,420.07","1,420.36","1,394.39","1,420.07"
11/15/1999,"1,394.39","1,398.58","1,392.28","1,394.39"
11/12/1999,"1,396.06","1,396.12","1,368.54","1,396.06"
11/11/1999,"1,381.46","1,382.12","1,372.19","1,381.46"
11/10/1999,"1,373.46","1,379.18","1,359.98","1,373.46"
11/09/1999,"1,365.28","1,383.81","1,361.45","1,365.28"
11/08/1999,"1,377.01","1,380.78","1,365.87","1,377.01"
11/05/1999,"1,370.23","1,387.48","1,362.64","1,370.23"
11/04/1999,"1,362.64","1,369.41","1,354.93","1,362.64"
11/03/1999,"1,354.93","1,360.33","1,347.74","1,354.93"
11/02/1999,"1,347.74","1,369.32","1,346.41","1,347.74"
11/01/1999,"1,354.12","1,367.30","1,354.05","1,354.12"
10/29/1999,"1,362.93","1,373.17","1,342.44","1,362.93"
10/28/1999,"1,342.44","1,342.47","1,296.71","1,342.44"
10/27/1999,"1,296.71","1,299.39","1,280.48","1,296.71"
10/26/1999,"1,281.91","1,303.46","1,281.86","1,281.91"
10/25/1999,"1,293.63","1,301.68","1,286.07","1,293.63"
10/22/1999,"1,301.65","1,308.81","1,283.61","1,301.65"
10/21/1999,"1,283.61","1,289.43","1,265.61","1,283.61"
10/20/1999,"1,289.43","1,289.44","1,261.32","1,289.43"
10/19/1999,"1,261.32","1,279.32","1,254.13","1,261.32"
10/18/1999,"1,254.13","1,254.15","1,233.70","1,254.13"
10/15/1999,"1,247.41","1,283.42","1,245.44","1,247.41"
10/14/1999,"1,283.42","1,289.63","1,267.62","1,283.42"
10/13/1999,"1,285.55","1,313.04","1,282.80","1,285.55"
10/12/1999,"1,313.04","1,335.21","1,311.80","1,313.04"
10/11/1999,"1,335.21","1,344.26","1,324.40","1,335.21"
10/08/1999,"1,336.02","1,336.61","1,311.88","1,336.02"
10/07/1999,"1,317.64","1,328.05","1,314.13","1,317.64"
10/06/1999,"1,325.40","1,325.46","1,300.38","1,325.40"
10/05/1999,"1,301.35","1,316.41","1,286.44","1,301.35"
10/04/1999,"1,304.60","1,304.60","1,282.81","1,304.60"
10/01/1999,"1,282.81","1,283.17","1,265.78","1,282.81"
09/30/1999,"1,282.71","1,291.31","1,268.37","1,282.71"
09/29/1999,"1,268.37","1,288.83","1,268.16","1,268.37"
09/28/1999,"1,282.20","1,285.55","1,256.26","1,282.20"
09/27/1999,"1,283.31","1,295.03","1,277.36","1,283.31"
09/24/1999,"1,277.36","1,281.17","1,263.84","1,277.36"
09/23/1999,"1,280.41","1,315.25","1,277.30","1,280.41"
09/22/1999,"1,310.51","1,316.18","1,297.81","1,310.51"
09/21/1999,"1,307.58","1,335.53","1,301.97","1,307.58"
09/20/1999,"1,335.53","1,338.38","1,330.61","1,335.53"
09/17/1999,"1,335.42","1,337.59","1,318.48","1,335.42"
09/16/1999,"1,318.48","1,322.51","1,299.97","1,318.48"
09/15/1999,"1,317.97","1,347.21","1,317.97","1,317.97"
09/14/1999,"1,336.29","1,344.18","1,330.61","1,336.29"
09/13/1999,"1,344.13","1,351.66","1,341.72","1,344.13"
09/10/1999,"1,351.66","1,357.71","1,346.08","1,351.66"
09/09/1999,"1,347.66","1,347.66","1,333.94","1,347.66"
09/08/1999,"1,344.15","1,355.18","1,337.37","1,344.15"
09/07/1999,"1,350.45","1,361.35","1,349.56","1,350.45"
09/03/1999,"1,357.24","1,357.74","1,319.11","1,357.24"
09/02/1999,"1,319.11","1,331.07","1,304.88","1,319.11"
09/01/1999,"1,331.07","1,331.18","1,320.39","1,331.07"
08/31/1999,"1,320.41","1,333.27","1,306.96","1,320.41"
08/30/1999,"1,324.02","1,350.70","1,322.80","1,324.02"
08/27/1999,"1,348.27","1,365.63","1,347.35","1,348.27"
08/26/1999,"1,362.01","1,381.79","1,361.53","1,362.01"
08/25/1999,"1,381.79","1,382.84","1,359.20","1,381.79"
08/24/1999,"1,363.50","1,373.32","1,353.63","1,363.50"
08/23/1999,"1,360.22","1,360.24","1,336.61","1,360.22"
08/20/1999,"1,336.61","1,336.61","1,323.59","1,336.61"
08/19/1999,"1,323.59","1,332.84","1,315.35","1,323.59"
08/18/1999,"1,332.84","1,344.16","1,332.13","1,332.84"
08/17/1999,"1,344.16","1,344.16","1,328.76","1,344.16"
08/16/1999,"1,330.77","1,331.05","1,320.51","1,330.77"
08/13/1999,"1,327.68","1,327.72","1,298.16","1,327.68"
08/12/1999,"1,298.16","1,313.59","1,298.10","1,298.16"
08/11/1999,"1,301.93","1,301.94","1,281.43","1,301.93"
08/10/1999,"1,281.43","1,298.62","1,267.73","1,281.43"
08/09/1999,"1,297.80","1,306.68","1,295.99","1,297.80"
08/06/1999,"1,300.29","1,316.74","1,293.19","1,300.29"
08/05/1999,"1,313.71","1,313.71","1,287.23","1,313.71"
08/04/1999,"1,305.33","1,330.16","1,304.50","1,305.33"
08/03/1999,"1,322.18","1,336.13","1,314.91","1,322.18"
08/02/1999,"1,328.05","1,344.69","1,325.21","1,328.05"
07/30/1999,"1,328.72","1,350.87","1,328.49","1,328.72"
07/29/1999,"1,341.03","1,365.40","1,332.64","1,341.03"
07/28/1999,"1,365.40","1,370.39","1,355.57","1,365.40"
07/27/1999,"1,362.84","1,368.70","1,347.76","1,362.84"
07/26/1999,"1,347.76","1,358.61","1,346.20","1,347.76"
07/23/1999,"1,356.94","1,367.41","1,349.91","1,356.94"
07/22/1999,"1,360.97","1,379.29","1,353.98","1,360.97"
07/21/1999,"1,379.29","1,386.66","1,372.63","1,379.29"
07/20/1999,"1,377.10","1,407.65","1,375.15","1,377.10"
07/19/1999,"1,407.65","1,420.33","1,404.56","1,407.65"
07/16/1999,"1,418.78","1,418.78","1,407.07","1,418.78"
07/15/1999,"1,409.62","1,409.84","1,398.17","1,409.62"
07/14/1999,"1,398.17","1,400.05","1,386.51","1,398.17"
07/13/1999,"1,393.56","1,399.10","1,386.84","1,393.56"
07/12/1999,"1,399.10","1,406.82","1,394.70","1,399.10"
07/09/1999,"1,403.28","1,403.28","1,394.42","1,403.28"
07/08/1999,"1,394.42","1,403.25","1,386.69","1,394.42"
07/07/1999,"1,395.86","1,395.88","1,384.95","1,395.86"
07/06/1999,"1,388.12","1,405.29","1,387.08","1,388.12"
07/02/1999,"1,391.22","1,391.22","1,379.57","1,391.22"
07/01/1999,"1,380.96","1,382.80","1,360.80","1,380.96"
06/30/1999,"1,372.71","1,372.93","1,338.78","1,372.71"
06/29/1999,"1,351.45","1,351.51","1,328.40","1,351.45"
06/28/1999,"1,331.35","1,338.68","1,315.31","1,331.35"
06/25/1999,"1,315.31","1,329.13","1,312.64","1,315.31"
06/24/1999,"1,315.78","1,333.06","1,308.47","1,315.78"
06/23/1999,"1,333.06","1,335.88","1,322.55","1,333.06"
06/22/1999,"1,335.88","1,351.12","1,335.52","1,335.88"
06/21/1999,"1,349.00","1,349.06","1,337.63","1,349.00"
06/18/1999,"1,342.84","1,344.48","1,333.52","1,342.84"
06/17/1999,"1,339.90","1,343.54","1,322.75","1,339.90"
06/16/1999,"1,330.41","1,332.83","1,301.16","1,330.41"
06/15/1999,"1,301.16","1,310.75","1,294.00","1,301.16"
06/14/1999,"1,294.00","1,301.99","1,292.20","1,294.00"
06/11/1999,"1,293.64","1,311.97","1,287.88","1,293.64"
06/10/1999,"1,302.82","1,318.64","1,293.28","1,302.82"
06/09/1999,"1,318.64","1,326.01","1,314.73","1,318.64"
06/08/1999,"1,317.33","1,334.52","1,312.83","1,317.33"
06/07/1999,"1,334.52","1,336.42","1,325.89","1,334.52"
06/04/1999,"1,327.75","1,327.75","1,299.54","1,327.75"
06/03/1999,"1,299.54","1,304.15","1,294.20","1,299.54"
06/02/1999,"1,294.81","1,297.10","1,277.47","1,294.81"
06/01/1999,"1,294.26","1,301.84","1,281.44","1,294.26"
05/28/1999,"1,301.84","1,304.00","1,281.41","1,301.84"
05/27/1999,"1,281.41","1,304.76","1,277.31","1,281.41"
05/26/1999,"1,304.76","1,304.85","1,278.43","1,304.76"
05/25/1999,"1,284.40","1,317.52","1,284.38","1,284.40"
05/24/1999,"1,306.65","1,333.02","1,303.53","1,306.65"
05/21/1999,"1,330.29","1,340.88","1,326.19","1,330.29"
05/20/1999,"1,338.83","1,350.49","1,338.83","1,338.83"
05/19/1999,"1,344.23","1,344.23","1,327.05","1,344.23"
05/18/1999,"1,333.32","1,345.44","1,323.46","1,333.32"
05/17/1999,"1,339.49","1,339.95","1,321.19","1,339.49"
05/14/1999,"1,337.80","1,367.56","1,332.63","1,337.80"
05/13/1999,"1,367.56","1,375.98","1,364.00","1,367.56"
05/12/1999,"1,364.00","1,367.36","1,333.10","1,364.00"
05/11/1999,"1,355.61","1,360.00","1,340.30","1,355.61"
05/10/1999,"1,340.30","1,352.01","1,334.00","1,340.30"
05/07/1999,"1,345.00","1,345.99","1,332.05","1,345.00"
05/06/1999,"1,332.05","1,348.36","1,322.56","1,332.05"
05/05/1999,"1,347.31","1,347.32","1,317.44","1,347.31"
05/04/1999,"1,332.00","1,354.64","1,330.64","1,332.00"
05/03/1999,"1,354.63","1,354.63","1,329.01","1,354.63"
04/30/1999,"1,335.18","1,351.83","1,314.58","1,335.18"
04/29/1999,"1,342.83","1,356.75","1,336.81","1,342.83"
04/28/1999,"1,350.91","1,368.62","1,348.29","1,350.91"
04/27/1999,"1,362.80","1,371.56","1,356.55","1,362.80"
04/26/1999,"1,360.04","1,363.56","1,353.72","1,360.04"
04/23/1999,"1,356.85","1,363.65","1,348.45","1,356.85"
04/22/1999,"1,358.82","1,358.84","1,336.12","1,358.82"
04/21/1999,"1,336.12","1,336.12","1,301.84","1,336.12"
04/20/1999,"1,306.17","1,306.30","1,284.21","1,306.17"
04/19/1999,"1,289.48","1,340.10","1,284.48","1,289.48"
04/16/1999,"1,319.00","1,325.03","1,311.40","1,319.00"
04/15/1999,"1,322.86","1,332.41","1,308.38","1,322.86"
04/14/1999,"1,328.44","1,357.24","1,326.41","1,328.44"
04/13/1999,"1,349.82","1,362.10","1,344.22","1,349.82"
04/12/1999,"1,358.64","1,358.69","1,333.48","1,358.64"
04/09/1999,"1,348.35","1,351.22","1,335.24","1,348.35"
04/08/1999,"1,343.98","1,344.08","1,321.60","1,343.98"
04/07/1999,"1,326.89","1,329.58","1,312.59","1,326.89"
04/06/1999,"1,317.89","1,326.76","1,311.07","1,317.89"
04/05/1999,"1,321.12","1,321.21","1,293.72","1,321.12"
04/01/1999,"1,293.72","1,294.54","1,282.56","1,293.72"
03/31/1999,"1,286.37","1,313.60","1,285.87","1,286.37"
03/30/1999,"1,300.75","1,310.17","1,295.47","1,300.75"
03/29/1999,"1,310.17","1,311.76","1,282.80","1,310.17"
03/26/1999,"1,282.80","1,289.99","1,277.25","1,282.80"
03/25/1999,"1,289.99","1,290.01","1,268.59","1,289.99"
03/24/1999,"1,268.59","1,269.02","1,256.43","1,268.59"
03/23/1999,"1,262.14","1,297.01","1,257.46","1,262.14"
03/22/1999,"1,297.01","1,303.84","1,294.26","1,297.01"
03/19/1999,"1,299.29","1,323.82","1,298.92","1,299.29"
03/18/1999,"1,316.55","1,317.62","1,294.75","1,316.55"
03/17/1999,"1,297.82","1,306.55","1,292.63","1,297.82"
03/16/1999,"1,306.38","1,311.11","1,302.29","1,306.38"
03/15/1999,"1,307.26","1,307.47","1,291.03","1,307.26"
03/12/1999,"1,294.59","1,304.42","1,289.17","1,294.59"
03/11/1999,"1,297.68","1,305.43","1,286.84","1,297.68"
03/10/1999,"1,286.84","1,287.02","1,275.16","1,286.84"
03/09/1999,"1,279.84","1,293.74","1,275.11","1,279.84"
03/08/1999,"1,282.73","1,282.74","1,271.58","1,282.73"
03/05/1999,"1,275.47","1,275.73","1,246.64","1,275.47"
03/04/1999,"1,246.64","1,247.74","1,227.70","1,246.64"
03/03/1999,"1,227.70","1,231.63","1,216.03","1,227.70"
03/02/1999,"1,225.50","1,248.31","1,221.87","1,225.50"
03/01/1999,"1,236.16","1,238.70","1,221.88","1,236.16"
02/26/1999,"1,238.33","1,246.73","1,226.24","1,238.33"
02/25/1999,"1,245.02","1,253.41","1,225.01","1,245.02"
02/24/1999,"1,253.41","1,283.84","1,251.94","1,253.41"
02/23/1999,"1,271.18","1,280.38","1,263.36","1,271.18"
02/22/1999,"1,272.14","1,272.22","1,239.22","1,272.14"
02/19/1999,"1,239.22","1,247.91","1,232.03","1,239.22"
02/18/1999,"1,237.28","1,239.13","1,220.70","1,237.28"
02/17/1999,"1,224.03","1,249.31","1,220.92","1,224.03"
02/16/1999,"1,241.87","1,252.17","1,230.13","1,241.87"
02/12/1999,"1,230.13","1,254.04","1,225.53","1,230.13"
02/11/1999,"1,254.04","1,254.05","1,223.19","1,254.04"
02/10/1999,"1,223.55","1,226.78","1,211.89","1,223.55"
02/09/1999,"1,216.14","1,243.97","1,215.63","1,216.14"
02/08/1999,"1,243.77","1,246.93","1,231.98","1,243.77"
02/05/1999,"1,239.40","1,251.86","1,232.28","1,239.40"
02/04/1999,"1,248.49","1,272.23","1,248.36","1,248.49"
02/03/1999,"1,272.07","1,276.04","1,255.27","1,272.07"
02/02/1999,"1,261.99","1,273.49","1,247.56","1,261.99"
02/01/1999,"1,273.00","1,283.75","1,271.31","1,273.00"
01/29/1999,"1,279.64","1,280.37","1,255.18","1,279.64"
01/28/1999,"1,265.37","1,266.40","1,243.17","1,265.37"
01/27/1999,"1,243.17","1,262.61","1,242.82","1,243.17"
01/26/1999,"1,252.31","1,253.25","1,233.98","1,252.31"
01/25/1999,"1,233.98","1,233.98","1,219.40","1,233.98"
01/22/1999,"1,225.19","1,236.41","1,217.97","1,225.19"
01/21/1999,"1,235.16","1,256.94","1,232.19","1,235.16"
01/20/1999,"1,256.62","1,274.07","1,251.54","1,256.62"
01/19/1999,"1,252.00","1,253.27","1,234.91","1,252.00"
01/15/1999,"1,243.26","1,243.26","1,212.19","1,243.26"
01/14/1999,"1,212.19","1,236.81","1,209.54","1,212.19"
01/13/1999,"1,234.40","1,247.75","1,205.46","1,234.40"
01/12/1999,"1,239.51","1,264.45","1,238.29","1,239.51"
01/11/1999,"1,263.88","1,276.22","1,253.34","1,263.88"
01/08/1999,"1,275.09","1,278.24","1,261.82","1,275.09"
01/07/1999,"1,269.73","1,272.34","1,257.68","1,269.73"
01/06/1999,"1,272.34","1,272.50","1,244.78","1,272.34"
01/05/1999,"1,244.78","1,246.11","1,228.10","1,244.78"
01/04/1999,"1,228.10","1,248.81","1,219.10","1,228.10"
