,sold,listed,county_avg_value,sold_above_value,median_price,national_avg_value
2018-01-31,1020.0,4261.0,237910.53219527667,0.1515151515151515,215000.0,218048.1320679906
2018-02-28,878.0,3802.0,238103.69624108227,0.1959183673469387,225000.0,219231.4064594288
2018-03-31,1164.0,4249.0,238473.283467326,0.1954887218045112,230000.0,220596.3696746732
2018-04-30,1290.0,5108.0,238401.72573197575,0.1978798586572438,227750.0,221833.83852266156
2018-05-31,1642.0,5294.0,238395.93752935648,0.2517482517482518,238000.0,223036.31701257508
2018-06-30,2006.0,5806.0,238106.19374857587,0.2641083521444695,255000.0,223919.40989186693
2018-07-31,1841.0,5565.0,238218.9756814378,0.2747909199522103,250000.0,225025.7993288129
2018-08-31,1944.0,5465.0,238444.77348486264,0.2353603603603603,249450.0,226084.6479494516
2018-09-30,1333.0,5448.0,238881.47706008292,0.2344013490725126,227000.0,227141.71642520977
2018-10-31,1506.0,5399.0,239082.88413548944,0.2322206095791001,230000.0,227861.7080413973
2018-11-30,1372.0,4843.0,239034.0171098438,0.2115987460815047,229450.0,228589.94443200607
2018-12-31,1238.0,4052.0,238785.18489098048,0.2048611111111111,225100.0,229374.8238945516
2019-01-31,958.0,3828.0,238648.54288569244,0.2144522144522144,211850.0,230341.7191647552
2019-02-28,805.0,3836.0,238850.8450571623,0.2103896103896103,200000.0,231481.22266906512
2019-03-31,1143.0,4333.0,239336.1020305451,0.2137254901960784,225000.0,232710.52889562777
2019-04-30,1316.0,4878.0,239845.45299589893,0.2635914332784184,237000.0,233818.0507471038
2019-05-31,1645.0,5472.0,240184.13258338624,0.2488207547169811,245000.0,234654.36204839463
2019-06-30,1990.0,5544.0,240391.25421610684,0.2644135188866799,248250.0,235389.6187722668
2019-07-31,1847.0,5495.0,240626.35614207096,0.3007856341189674,252000.0,236068.2232751006
2019-08-31,1813.0,5454.0,240821.2275442523,0.2547974413646055,245000.0,236805.41869311623
2019-09-30,1492.0,5386.0,240802.7419745341,0.2416998671978751,229000.0,237452.3564264454
2019-10-31,1477.0,5197.0,240851.86617849983,0.2288359788359788,227000.0,238337.91553146555
2019-11-30,1367.0,4559.0,241176.83482356375,0.2161016949152542,230000.0,239523.12416844687
2019-12-31,1664.0,3770.0,241774.7360743175,0.2217453505007153,229900.0,240903.5308643914
2020-01-31,1082.0,3601.0,242628.2635876323,0.2125984251968504,235000.0,242391.35165129605
2020-02-29,930.0,3599.0,243581.97496412497,0.2072072072072072,222050.0,243847.76065086317
2020-03-31,1241.0,3758.0,244956.18441909188,0.2492307692307692,239000.0,245376.9163906336
2020-04-30,1286.0,3286.0,246414.73829598236,0.2882882882882883,248000.0,246713.2334696444
2020-05-31,1434.0,3642.0,247152.38638050275,0.3058186738836265,246950.0,247480.32776404775
2020-06-30,1632.0,3790.0,247288.77440132157,0.3051044083526682,256750.0,247933.73452246469
2020-07-31,2214.0,3719.0,247416.0470844943,0.3677581863979849,265000.0,248672.0427862911
2020-08-31,2200.0,3468.0,248697.4095782428,0.4118158123370982,269000.0,250373.4958185559
2020-09-30,2069.0,3611.0,251365.14346011,0.454136690647482,264700.0,253246.28081294097
2020-10-31,2199.0,3464.0,254986.17553660736,0.4587155963302752,271500.0,256718.84962236424
2020-11-30,1786.0,2956.0,259266.986327188,0.4567901234567901,269900.0,260621.9172412341
2020-12-31,1980.0,2368.0,263529.50036502833,0.4110599078341014,267400.0,264410.8882774058
2021-01-31,1375.0,2224.0,267486.8006988812,0.4064665127020785,266000.0,268073.06540637714
2021-02-28,1105.0,1691.0,271236.3974634057,0.4111801242236025,260000.0,271829.04644536466
2021-03-31,1513.0,2061.0,275012.3790884809,0.5254237288135594,262450.0,275738.2734804239
2021-04-30,1710.0,2430.0,278837.8733046542,0.6026490066225165,285000.0,279984.58598905633
2021-05-31,1830.0,2656.0,282912.5701619266,0.6697247706422018,286050.0,284656.4062820314
2021-06-30,2381.0,2825.0,286893.64847925556,0.7165037377803335,300000.0,289667.88941770355
2021-07-31,2295.0,2874.0,289610.7771981025,0.7070707070707071,309500.0,294121.93938004895
2021-08-31,2230.0,2880.0,290381.65746731526,0.6483383685800604,310000.0,297225.2730968481
2021-09-30,1914.0,2741.0,289364.73075460334,0.5928184281842819,295000.0,299042.12714564026
2021-10-31,1714.0,2619.0,288523.9570970063,0.5494186046511628,285000.0,300831.31977451645
2021-11-30,1810.0,2131.0,288495.5357257533,0.5595238095238095,295000.0,303337.00052900804
2021-12-31,1760.0,1487.0,289749.12453591125,0.56208670095518,281200.0,306473.2814388871
2022-01-31,1239.0,1331.0,292935.8094035101,0.540929203539823,280000.0,310878.8735178546
2022-02-28,992.0,1230.0,297753.6556266541,0.5732758620689655,275000.0,316192.25855603366
2022-03-31,1270.0,1546.0,303602.35108459863,0.6819196428571429,295000.0,322443.19487696997
2022-04-30,1308.0,1922.0,309052.2001204814,0.7717842323651453,310000.0,328638.31936062255
2022-05-31,1638.0,2152.0,314162.69337504054,0.7916666666666666,325000.0,334146.74501174496
2022-06-30,1881.0,2338.0,318646.00309791666,0.7779319916724496,336000.0,338729.4243220286
2022-07-31,1710.0,2297.0,321682.6507309755,0.7197501951600312,340000.0,341129.6923237967
2022-08-31,1747.0,2167.0,322313.1235540639,0.6661753868828297,330000.0,341484.4582295267
2022-09-30,1597.0,1898.0,321378.8115619952,0.6138775510204082,320000.0,340216.83645881154
2022-10-31,1265.0,1828.0,320543.8934374152,0.602510460251046,319000.0,338980.08864739066
2022-11-30,1165.0,1545.0,320952.8237195477,0.5775280898876405,316000.0,337931.8036843093
