Date,Open,High,Low,Close
12/31/1984,"167.24","169.24","166.12","167.24"
12/28/1984,"166.26","166.26","165.76","166.26"
12/27/1984,"165.75","166.50","165.63","165.75"
12/26/1984,"166.47","166.72","166.35","166.47"
12/24/1984,"166.76","166.89","165.51","166.76"
12/21/1984,"165.51","166.26","164.64","165.51"
12/20/1984,"166.38","167.51","166.38","166.38"
12/19/1984,"167.16","168.91","166.91","167.16"
12/18/1984,"168.11","168.11","163.24","168.11"
12/17/1984,"163.61","163.18","162.56","163.61"
12/14/1984,"162.69","163.19","161.44","162.69"
12/13/1984,"161.81","162.81","161.56","161.81"
12/12/1984,"162.63","163.13","162.63","162.63"
12/11/1984,"163.07","163.07","162.57","163.07"
12/10/1984,"162.83","163.21","161.58","162.83"
12/07/1984,"162.26","163.26","162.26","162.26"
12/06/1984,"162.76","163.01","161.76","162.76"
12/05/1984,"162.10","163.35","161.98","162.10"
12/04/1984,"163.38","163.88","162.88","163.38"
12/03/1984,"162.82","163.57","162.32","162.82"
11/30/1984,"163.58","163.83","163.08","163.58"
11/29/1984,"163.91","164.91","163.79","163.91"
11/28/1984,"165.02","166.90","165.02","165.02"
11/27/1984,"166.29","166.79","165.17","166.29"
11/26/1984,"165.55","166.80","165.43","165.55"
11/23/1984,"166.92","166.92","164.55","166.92"
11/21/1984,"164.52","164.65","163.40","164.52"
11/20/1984,"164.18","164.43","163.18","164.18"
11/19/1984,"163.10","164.23","163.10","163.10"
11/16/1984,"164.10","166.23","164.10","164.10"
11/15/1984,"165.89","166.39","165.64","165.89"
11/14/1984,"165.99","166.37","165.49","165.99"
11/13/1984,"165.97","167.35","165.85","165.97"
11/12/1984,"167.36","167.61","166.74","167.36"
11/09/1984,"167.60","169.35","167.48","167.60"
11/08/1984,"168.68","169.18","168.31","168.68"
11/07/1984,"169.17","170.30","168.55","169.17"
11/06/1984,"170.41","170.41","168.66","170.41"
11/05/1984,"168.58","168.58","167.33","168.58"
11/02/1984,"167.42","167.95","167.24","167.42"
11/01/1984,"167.49","167.83","166.09","167.49"
10/31/1984,"166.09","166.95","165.99","166.09"
10/30/1984,"166.84","167.33","164.78","166.84"
10/29/1984,"164.78","165.29","164.67","164.78"
10/26/1984,"165.29","166.31","164.93","165.29"
10/25/1984,"166.31","167.62","166.17","166.31"
10/24/1984,"167.20","167.54","166.82","167.20"
10/23/1984,"167.09","168.27","166.83","167.09"
10/22/1984,"167.36","168.36","167.26","167.36"
10/19/1984,"167.96","169.62","167.31","167.96"
10/18/1984,"168.10","168.10","163.80","168.10"
10/17/1984,"164.14","165.04","163.71","164.14"
10/16/1984,"164.78","165.78","164.66","164.78"
10/15/1984,"165.77","166.15","164.09","165.77"
10/12/1984,"164.18","164.47","162.78","164.18"
10/11/1984,"162.78","162.87","162.00","162.78"
10/10/1984,"162.11","162.12","160.02","162.11"
10/09/1984,"161.67","162.84","161.62","161.67"
10/08/1984,"162.13","162.68","161.80","162.13"
10/05/1984,"162.68","163.32","162.51","162.68"
10/04/1984,"162.92","163.16","162.44","162.92"
10/03/1984,"162.44","163.59","162.20","162.44"
10/02/1984,"163.59","165.24","163.55","163.59"
10/01/1984,"164.62","166.10","164.48","164.62"
09/28/1984,"166.10","166.96","165.77","166.10"
09/27/1984,"166.96","167.18","166.28","166.96"
09/26/1984,"166.28","167.20","165.61","166.28"
09/25/1984,"165.62","165.97","164.45","165.62"
09/24/1984,"165.28","166.12","164.98","165.28"
09/21/1984,"165.67","168.67","165.66","165.67"
09/20/1984,"167.47","167.47","166.70","167.47"
09/19/1984,"166.94","166.94","166.89","166.94"
09/18/1984,"167.65","168.87","167.64","167.65"
09/17/1984,"168.87","169.37","167.99","168.87"
09/14/1984,"168.78","169.65","167.94","168.78"
09/13/1984,"167.94","167.94","164.68","167.94"
09/12/1984,"164.68","164.81","164.14","164.68"
09/11/1984,"164.45","166.17","164.26","164.45"
09/10/1984,"164.26","165.05","164.26","164.26"
09/07/1984,"164.37","166.31","164.22","164.37"
09/06/1984,"165.65","165.95","164.29","165.65"
09/05/1984,"164.29","164.88","163.84","164.29"
09/04/1984,"164.88","166.68","164.73","164.88"
08/31/1984,"166.68","166.68","165.78","166.68"
08/30/1984,"166.60","167.19","166.55","166.60"
08/29/1984,"167.10","168.21","167.03","167.10"
08/28/1984,"167.40","167.43","166.21","167.40"
08/27/1984,"166.44","167.51","165.81","166.44"
08/24/1984,"167.51","167.52","167.12","167.51"
08/23/1984,"167.12","167.78","166.61","167.12"
08/22/1984,"167.06","168.80","166.92","167.06"
08/21/1984,"167.83","168.22","164.93","167.83"
08/20/1984,"164.94","164.94","163.76","164.94"
08/17/1984,"164.14","164.61","163.78","164.14"
08/16/1984,"163.77","164.42","162.75","163.77"
08/15/1984,"162.80","164.42","162.75","162.80"
08/14/1984,"164.42","166.09","164.28","164.42"
08/13/1984,"165.43","165.49","163.98","165.43"
08/10/1984,"165.42","168.59","165.24","165.42"
08/09/1984,"165.54","165.88","161.47","165.54"
08/08/1984,"161.75","163.87","161.75","161.75"
08/07/1984,"162.71","163.58","160.81","162.71"
08/06/1984,"162.60","165.27","162.09","162.60"
08/03/1984,"162.35","162.56","157.99","162.35"
08/02/1984,"157.99","157.99","154.08","157.99"
08/01/1984,"154.08","154.08","150.66","154.08"
07/31/1984,"150.66","151.77","149.65","150.66"
07/30/1984,"150.19","151.19","150.14","150.19"
07/27/1984,"151.19","151.38","149.99","151.19"
07/26/1984,"150.08","150.16","148.83","150.08"
07/25/1984,"148.83","149.30","147.26","148.83"
07/24/1984,"147.82","149.28","147.78","147.82"
07/23/1984,"148.95","149.55","147.85","148.95"
07/20/1984,"149.55","158.58","149.07","149.55"
07/19/1984,"150.37","151.40","150.27","150.37"
07/18/1984,"151.40","152.38","151.11","151.40"
07/17/1984,"152.38","152.60","151.26","152.38"
07/16/1984,"151.60","151.30","150.14","151.60"
07/13/1984,"150.88","151.16","150.03","150.88"
07/12/1984,"150.03","151.06","149.63","150.03"
07/11/1984,"150.56","152.50","151.46","150.56"
07/10/1984,"152.89","153.53","152.57","152.89"
07/09/1984,"153.36","153.53","151.44","153.36"
07/06/1984,"152.24","152.76","151.63","152.24"
07/05/1984,"152.76","153.87","152.71","152.76"
07/03/1984,"153.70","153.86","153.10","153.70"
07/02/1984,"153.20","153.22","152.44","153.20"
06/29/1984,"153.18","153.95","153.21","153.18"
06/28/1984,"152.84","153.07","151.62","152.84"
06/27/1984,"151.64","152.88","151.30","151.64"
06/26/1984,"152.71","153.97","152.47","152.71"
06/25/1984,"153.97","154.50","154.04","153.97"
06/22/1984,"154.47","154.92","153.89","154.47"
06/21/1984,"154.51","155.64","154.05","154.51"
06/20/1984,"154.84","154.84","150.96","154.84"
06/19/1984,"152.61","153.00","151.73","152.61"
06/18/1984,"151.73","151.92","148.53","151.73"
06/15/1984,"149.03","150.56","149.42","149.03"
06/14/1984,"150.39","151.89","150.70","150.39"
06/13/1984,"152.13","152.85","151.86","152.13"
06/12/1984,"152.19","153.07","151.61","152.19"
06/11/1984,"153.06","155.17","153.00","153.06"
06/08/1984,"155.17","155.20","154.64","155.17"
06/07/1984,"154.92","155.11","154.36","154.92"
06/06/1984,"155.01","155.03","153.38","155.01"
06/05/1984,"153.65","154.34","153.28","153.65"
06/04/1984,"154.34","155.10","153.24","154.34"
06/01/1984,"153.24","153.24","150.55","153.24"
05/31/1984,"150.55","150.69","149.76","150.55"
05/30/1984,"150.35","151.43","148.68","150.35"
05/29/1984,"150.29","151.86","149.95","150.29"
05/25/1984,"151.62","152.02","150.85","151.62"
05/24/1984,"151.23","153.15","150.80","151.23"
05/23/1984,"153.15","154.02","153.10","153.15"
05/22/1984,"153.88","154.73","152.99","153.88"
05/21/1984,"154.73","156.11","154.63","154.73"
05/18/1984,"155.78","156.77","155.24","155.78"
05/17/1984,"156.57","157.99","156.15","156.57"
05/16/1984,"157.99","158.41","157.83","157.99"
05/15/1984,"158.00","158.27","157.29","158.00"
05/14/1984,"157.50","158.49","157.20","157.50"
05/11/1984,"158.49","160.00","157.42","158.49"
05/10/1984,"160.00","160.45","159.61","160.00"
