Date,Open,High,Low,Close
12/31/1992,"435.71","439.59","435.71","435.71"
12/30/1992,"438.82","439.37","437.12","438.82"
12/29/1992,"437.98","442.65","437.60","437.98"
12/28/1992,"439.15","439.77","437.26","439.15"
12/24/1992,"439.77","439.81","439.03","439.77"
12/23/1992,"439.03","441.11","439.03","439.03"
12/22/1992,"440.31","441.64","438.25","440.31"
12/21/1992,"440.70","441.28","439.65","440.70"
12/18/1992,"441.28","441.29","435.43","441.28"
12/17/1992,"435.43","435.44","431.46","435.43"
12/16/1992,"431.52","434.22","430.88","431.52"
12/15/1992,"432.57","433.66","431.92","432.57"
12/14/1992,"432.84","435.26","432.83","432.84"
12/11/1992,"433.73","434.64","433.34","433.73"
12/10/1992,"434.64","435.66","432.65","434.64"
12/09/1992,"435.65","436.99","433.98","435.65"
12/08/1992,"436.99","436.99","434.68","436.99"
12/07/1992,"435.31","435.31","432.06","435.31"
12/04/1992,"432.06","432.89","429.74","432.06"
12/03/1992,"429.91","430.99","428.80","429.91"
12/02/1992,"429.89","430.87","428.61","429.89"
12/01/1992,"430.78","431.47","429.07","430.78"
11/30/1992,"431.35","431.53","429.36","431.35"
11/27/1992,"430.16","431.93","429.17","430.16"
11/25/1992,"429.19","429.41","427.58","429.19"
11/24/1992,"427.59","429.31","424.83","427.59"
11/23/1992,"425.12","426.65","424.95","425.12"
11/20/1992,"426.65","426.98","423.61","426.65"
11/19/1992,"423.61","423.61","422.50","423.61"
11/18/1992,"422.85","423.49","419.24","422.85"
11/17/1992,"419.27","420.97","418.31","419.27"
11/16/1992,"420.68","422.44","420.35","420.68"
11/13/1992,"422.43","422.91","421.04","422.43"
11/12/1992,"422.87","423.10","421.70","422.87"
11/11/1992,"422.20","422.33","418.40","422.20"
11/10/1992,"418.62","419.71","417.98","418.62"
11/09/1992,"418.59","420.13","416.79","418.59"
11/06/1992,"417.58","418.35","417.01","417.58"
11/05/1992,"418.34","418.40","415.58","418.34"
11/04/1992,"417.11","421.07","416.61","417.11"
11/03/1992,"419.92","422.81","418.59","419.92"
11/02/1992,"422.75","422.75","418.12","422.75"
10/30/1992,"418.68","421.13","418.54","418.68"
10/29/1992,"420.86","421.16","419.83","420.86"
10/28/1992,"420.13","420.13","417.56","420.13"
10/27/1992,"418.49","419.20","416.97","418.49"
10/26/1992,"418.16","418.17","413.71","418.16"
10/23/1992,"414.10","416.23","413.70","414.10"
10/22/1992,"414.90","416.81","413.10","414.90"
10/21/1992,"415.67","416.15","414.54","415.67"
10/20/1992,"415.48","417.98","414.49","415.48"
10/19/1992,"414.98","414.98","410.66","414.98"
10/16/1992,"411.73","411.73","407.43","411.73"
10/15/1992,"409.60","411.03","407.92","409.60"
10/14/1992,"409.37","411.52","407.86","409.37"
10/13/1992,"409.30","410.64","406.83","409.30"
10/12/1992,"407.44","407.44","402.66","407.44"
10/09/1992,"402.66","407.75","402.42","402.66"
10/08/1992,"407.75","408.04","404.25","407.75"
10/07/1992,"404.25","408.60","403.91","404.25"
10/06/1992,"407.18","408.56","404.84","407.18"
10/05/1992,"407.57","410.47","396.80","407.57"
10/02/1992,"410.47","416.35","410.45","410.47"
10/01/1992,"416.29","418.67","415.46","416.29"
09/30/1992,"417.80","418.58","416.67","417.80"
09/29/1992,"416.80","417.38","415.34","416.80"
09/28/1992,"416.62","416.62","413.00","416.62"
09/25/1992,"414.35","418.63","412.71","414.35"
09/24/1992,"418.47","419.01","417.44","418.47"
09/23/1992,"417.44","417.88","416.00","417.44"
09/22/1992,"417.14","422.14","417.13","417.14"
09/21/1992,"422.14","422.93","421.18","422.14"
09/18/1992,"422.93","422.93","419.92","422.93"
09/17/1992,"419.93","421.43","419.62","419.93"
09/16/1992,"419.92","422.44","417.77","419.92"
09/15/1992,"419.77","425.27","419.54","419.77"
09/14/1992,"425.27","425.27","419.58","425.27"
09/11/1992,"419.58","420.58","419.13","419.58"
09/10/1992,"419.95","420.52","416.34","419.95"
09/09/1992,"416.36","416.44","414.44","416.36"
09/08/1992,"414.44","417.18","414.30","414.44"
09/04/1992,"417.08","418.62","416.76","417.08"
09/03/1992,"417.98","420.31","417.49","417.98"
09/02/1992,"417.98","418.28","415.31","417.98"
09/01/1992,"416.07","416.07","413.35","416.07"
08/31/1992,"414.03","415.29","413.76","414.03"
08/28/1992,"414.84","414.95","413.38","414.84"
08/27/1992,"413.53","415.83","413.51","413.53"
08/26/1992,"413.51","413.61","410.53","413.51"
08/25/1992,"411.61","411.64","408.30","411.61"
08/24/1992,"410.72","414.85","410.07","410.72"
08/21/1992,"414.85","420.35","413.58","414.85"
08/20/1992,"418.26","418.85","416.93","418.26"
08/19/1992,"418.18","421.62","418.18","418.18"
08/18/1992,"421.34","421.40","419.78","421.34"
08/17/1992,"420.74","421.89","419.44","420.74"
08/14/1992,"419.91","420.40","417.73","419.91"
08/13/1992,"417.73","419.88","416.40","417.73"
08/12/1992,"417.78","419.75","416.43","417.78"
08/11/1992,"418.90","419.72","416.53","418.90"
08/10/1992,"419.42","419.42","417.04","419.42"
08/07/1992,"418.88","423.45","418.51","418.88"
08/06/1992,"420.59","422.36","420.26","420.59"
08/05/1992,"422.19","424.36","421.92","422.19"
08/04/1992,"424.36","425.14","423.10","424.36"
08/03/1992,"425.09","425.09","422.84","425.09"
07/31/1992,"424.21","424.80","422.46","424.21"
07/30/1992,"423.92","423.94","421.57","423.92"
07/29/1992,"422.23","423.02","417.52","422.23"
07/28/1992,"417.52","417.55","411.54","417.52"
07/27/1992,"411.54","412.67","411.27","411.54"
07/24/1992,"411.60","412.08","409.94","411.60"
07/23/1992,"412.08","412.08","409.81","412.08"
