Date,Open,High,Low,Close
12/31/1987,"247.08","247.86","245.22","247.08"
12/30/1987,"247.86","248.06","244.59","247.86"
12/29/1987,"244.59","245.88","244.28","244.59"
12/28/1987,"245.57","252.02","244.19","245.57"
12/24/1987,"252.02","253.16","251.68","252.02"
12/23/1987,"253.16","253.35","249.95","253.16"
12/22/1987,"249.95","249.97","247.01","249.95"
12/21/1987,"249.54","250.25","248.30","249.54"
12/18/1987,"249.16","249.18","242.98","249.16"
12/17/1987,"242.98","248.60","242.96","242.98"
12/16/1987,"248.08","248.11","242.80","248.08"
12/15/1987,"242.80","245.59","241.31","242.80"
12/14/1987,"242.19","242.34","235.04","242.19"
12/11/1987,"235.32","235.48","233.35","235.32"
12/10/1987,"233.57","240.05","233.40","233.57"
12/09/1987,"238.89","240.09","233.83","238.89"
12/08/1987,"234.91","234.92","228.69","234.91"
12/07/1987,"228.76","228.77","223.92","228.76"
12/04/1987,"223.92","225.77","221.24","223.92"
12/03/1987,"225.21","233.90","225.21","225.21"
12/02/1987,"233.45","234.56","230.31","233.45"
12/01/1987,"232.00","234.02","230.30","232.00"
11/30/1987,"230.30","240.34","225.78","230.30"
11/27/1987,"240.34","244.12","240.34","240.34"
11/25/1987,"244.10","246.54","244.08","244.10"
11/24/1987,"246.39","247.90","242.98","246.39"
11/23/1987,"242.99","242.99","240.50","242.99"
11/20/1987,"242.00","242.00","235.89","242.00"
11/19/1987,"240.05","245.55","239.70","240.05"
11/18/1987,"245.55","245.55","240.67","245.55"
11/17/1987,"243.04","243.41","240.93","243.04"
11/16/1987,"246.76","249.24","244.98","246.76"
11/13/1987,"245.64","249.42","245.64","245.64"
11/12/1987,"248.52","249.90","241.90","248.52"
11/11/1987,"241.90","243.86","239.00","241.90"
11/10/1987,"239.00","243.17","237.64","239.00"
11/09/1987,"243.17","250.41","243.01","243.17"
11/06/1987,"250.41","257.21","249.68","250.41"
11/05/1987,"254.48","256.09","247.72","254.48"
11/04/1987,"248.96","250.57","246.94","248.96"
11/03/1987,"250.82","255.75","242.78","250.82"
11/02/1987,"255.75","255.75","249.15","255.75"
10/30/1987,"251.79","254.04","244.77","251.79"
10/29/1987,"244.77","246.69","233.28","244.77"
10/28/1987,"233.28","238.58","226.29","233.28"
10/27/1987,"233.19","237.81","227.67","233.19"
10/26/1987,"227.67","248.22","227.26","227.67"
10/23/1987,"248.22","250.70","242.76","248.22"
10/22/1987,"248.25","258.38","242.99","248.25"
10/21/1987,"258.38","258.47","249.60","258.38"
10/20/1987,"236.83","238.26","221.39","236.83"
10/19/1987,"224.84","282.70","224.83","224.84"
10/16/1987,"282.70","298.92","281.52","282.70"
10/15/1987,"298.08","305.23","298.07","298.08"
10/14/1987,"305.23","314.52","304.78","305.23"
10/13/1987,"314.52","314.53","309.39","314.52"
10/12/1987,"309.39","311.07","307.76","309.39"
10/09/1987,"311.07","315.04","310.97","311.07"
10/08/1987,"314.16","319.34","312.02","314.16"
10/07/1987,"318.54","319.39","315.78","318.54"
10/06/1987,"319.22","328.08","319.17","319.22"
10/05/1987,"328.08","328.57","326.09","328.08"
10/02/1987,"328.07","328.94","327.22","328.07"
10/01/1987,"327.33","327.34","321.83","327.33"
09/30/1987,"321.83","322.53","320.16","321.83"
09/29/1987,"321.69","324.63","320.27","321.69"
09/28/1987,"323.20","325.33","320.16","323.20"
09/25/1987,"320.16","320.55","318.10","320.16"
09/24/1987,"319.72","322.01","319.12","319.72"
09/23/1987,"321.19","321.83","319.12","321.19"
09/22/1987,"319.50","319.51","308.69","319.50"
09/21/1987,"310.54","317.66","310.12","310.54"
09/18/1987,"314.86","316.99","314.86","314.86"
09/17/1987,"314.93","316.08","313.45","314.93"
09/16/1987,"314.86","319.50","314.61","314.86"
09/15/1987,"317.74","323.08","317.63","317.74"
09/14/1987,"323.08","323.81","320.40","323.08"
09/11/1987,"321.98","322.45","317.13","321.98"
09/10/1987,"317.13","317.59","313.92","317.13"
09/09/1987,"313.92","315.41","312.29","313.92"
09/08/1987,"313.56","316.70","308.56","313.56"
09/04/1987,"316.70","322.03","316.53","316.70"
09/03/1987,"320.21","324.29","317.39","320.21"
09/02/1987,"321.68","324.53","318.76","321.68"
09/01/1987,"323.40","332.18","322.83","323.40"
08/31/1987,"329.80","329.79","327.82","329.80"
08/28/1987,"327.04","331.38","327.04","327.04"
08/27/1987,"331.38","334.57","331.10","331.38"
08/26/1987,"334.57","337.39","334.46","334.57"
08/25/1987,"336.77","337.89","333.33","336.77"
08/24/1987,"333.33","335.90","331.92","333.33"
08/21/1987,"335.90","336.37","334.30","335.90"
08/20/1987,"334.84","335.19","329.83","334.84"
08/19/1987,"329.83","329.89","326.54","329.83"
08/18/1987,"329.25","334.11","326.43","329.25"
08/17/1987,"334.11","335.43","332.88","334.11"
08/14/1987,"333.99","336.08","332.63","333.99"
08/13/1987,"334.65","335.52","332.38","334.65"
08/12/1987,"332.39","334.57","331.06","332.39"
08/11/1987,"333.33","333.40","328.00","333.33"
08/10/1987,"328.00","328.00","322.95","328.00"
08/07/1987,"323.00","324.15","321.82","323.00"
08/06/1987,"322.09","322.09","317.50","322.09"
08/05/1987,"318.45","319.74","316.23","318.45"
08/04/1987,"316.23","318.25","314.51","316.23"
08/03/1987,"317.57","320.26","316.52","317.57"
