Date,Open,High,Low,Close
12/31/1993,"466.45","470.75","466.45","466.45"
12/30/1993,"468.64","470.58","468.09","468.64"
12/29/1993,"470.58","471.29","469.87","470.58"
12/28/1993,"470.94","471.05","469.43","470.94"
12/27/1993,"470.54","470.55","467.35","470.54"
12/23/1993,"467.38","468.97","467.30","467.38"
12/22/1993,"467.32","467.38","465.08","467.32"
12/21/1993,"465.30","465.92","464.03","465.30"
12/20/1993,"465.85","466.89","465.53","465.85"
12/17/1993,"466.38","466.38","463.34","466.38"
12/16/1993,"463.34","463.98","461.84","463.34"
12/15/1993,"461.84","463.69","461.84","461.84"
12/14/1993,"463.06","466.12","462.46","463.06"
12/13/1993,"465.70","465.71","462.71","465.70"
12/10/1993,"463.93","464.87","462.66","463.93"
12/09/1993,"464.18","466.54","463.87","464.18"
12/08/1993,"466.29","466.76","465.42","466.29"
12/07/1993,"466.76","466.77","465.44","466.76"
12/06/1993,"466.43","466.89","464.40","466.43"
12/03/1993,"464.89","464.89","462.67","464.89"
12/02/1993,"463.11","463.22","461.45","463.11"
12/01/1993,"461.89","464.47","461.63","461.89"
11/30/1993,"461.79","463.62","460.45","461.79"
11/29/1993,"461.90","464.83","461.83","461.90"
11/26/1993,"463.06","463.63","462.36","463.06"
11/24/1993,"462.36","462.90","461.03","462.36"
11/23/1993,"461.03","461.77","458.47","461.03"
11/22/1993,"459.13","462.60","457.08","459.13"
11/19/1993,"462.60","463.62","460.03","462.60"
11/18/1993,"463.62","464.88","461.73","463.62"
11/17/1993,"464.81","467.24","462.73","464.81"
11/16/1993,"466.74","466.74","462.98","466.74"
11/15/1993,"463.75","466.13","462.96","463.75"
11/12/1993,"465.39","465.84","462.64","465.39"
11/11/1993,"462.64","464.96","462.49","462.64"
11/10/1993,"463.72","463.72","459.57","463.72"
11/09/1993,"460.33","463.42","460.21","460.33"
11/08/1993,"460.21","461.54","458.78","460.21"
11/05/1993,"459.57","459.63","454.36","459.57"
11/04/1993,"457.49","457.49","457.49","457.49"
11/03/1993,"463.02","468.61","460.95","463.02"
11/02/1993,"468.44","469.10","466.20","468.44"
11/01/1993,"469.10","469.11","467.33","469.10"
10/29/1993,"467.83","468.20","467.37","467.83"
10/28/1993,"467.73","468.76","464.52","467.73"
10/27/1993,"464.61","464.61","463.36","464.61"
10/26/1993,"464.30","464.32","462.65","464.30"
10/25/1993,"464.20","464.49","462.05","464.20"
10/22/1993,"463.27","467.83","463.27","463.27"
10/21/1993,"465.36","466.64","464.38","465.36"
10/20/1993,"466.07","466.87","464.54","466.07"
10/19/1993,"466.21","468.63","464.80","466.21"
10/18/1993,"468.45","470.04","468.02","468.45"
10/15/1993,"469.50","471.10","466.83","469.50"
10/14/1993,"466.83","466.83","461.49","466.83"
10/13/1993,"461.49","461.98","460.76","461.49"
10/12/1993,"461.12","462.47","460.73","461.12"
10/11/1993,"460.88","461.87","460.31","460.88"
10/08/1993,"460.31","460.99","456.40","460.31"
10/07/1993,"459.18","461.13","459.08","459.18"
10/06/1993,"460.74","462.60","460.26","460.74"
10/05/1993,"461.20","463.15","459.45","461.20"
10/04/1993,"461.34","461.80","460.02","461.34"
10/01/1993,"461.29","461.48","458.35","461.29"
09/30/1993,"458.93","460.56","458.28","458.93"
09/29/1993,"460.11","462.17","459.51","460.11"
09/28/1993,"461.53","462.08","460.91","461.53"
09/27/1993,"461.80","461.81","457.63","461.80"
09/24/1993,"457.63","458.56","456.92","457.63"
09/23/1993,"457.74","458.69","456.20","457.74"
09/22/1993,"456.20","456.92","452.94","456.20"
09/21/1993,"452.95","455.80","449.64","452.95"
09/20/1993,"455.05","459.91","455.00","455.05"
09/17/1993,"458.83","459.43","457.09","458.83"
09/16/1993,"459.43","461.60","459.00","459.43"
09/15/1993,"461.60","461.96","456.31","461.60"
09/14/1993,"459.90","462.06","458.15","459.90"
09/13/1993,"462.06","463.38","461.41","462.06"
09/10/1993,"461.72","461.86","457.49","461.72"
09/09/1993,"457.50","458.11","455.17","457.50"
09/08/1993,"456.65","458.53","453.75","456.65"
09/07/1993,"458.52","462.07","457.95","458.52"
09/03/1993,"461.34","462.05","459.91","461.34"
09/02/1993,"461.30","463.54","461.07","461.30"
09/01/1993,"463.15","463.80","461.77","463.15"
08/31/1993,"463.56","463.56","461.29","463.56"
08/30/1993,"461.90","462.58","460.28","461.90"
08/27/1993,"460.54","461.05","459.19","460.54"
08/26/1993,"461.04","462.87","458.82","461.04"
08/25/1993,"460.13","462.04","459.30","460.13"
08/24/1993,"459.77","459.77","455.04","459.77"
08/23/1993,"455.23","456.16","454.29","455.23"
08/20/1993,"456.16","456.68","454.60","456.16"
08/19/1993,"456.43","456.76","455.20","456.43"
08/18/1993,"456.04","456.99","453.13","456.04"
08/17/1993,"453.13","453.70","451.96","453.13"
08/16/1993,"452.38","453.41","450.14","452.38"
08/13/1993,"450.14","450.25","448.96","450.14"
08/12/1993,"448.96","451.63","447.53","448.96"
08/11/1993,"450.46","451.00","449.45","450.46"
08/10/1993,"449.45","450.72","449.10","449.45"
08/09/1993,"450.72","450.72","450.72","450.72"
08/06/1993,"448.68","449.26","447.87","448.68"
08/05/1993,"448.13","449.61","446.94","448.13"
08/04/1993,"448.54","449.72","447.93","448.54"
08/03/1993,"449.27","450.43","447.59","449.27"
08/02/1993,"450.15","450.15","448.03","450.15"
07/30/1993,"448.13","450.24","446.98","448.13"
07/29/1993,"450.24","450.77","447.19","450.24"
07/28/1993,"447.19","448.61","446.59","447.19"
07/27/1993,"448.24","449.44","446.76","448.24"
07/26/1993,"449.09","449.50","447.04","449.09"
07/23/1993,"447.10","447.10","444.51","447.10"
07/22/1993,"444.51","447.23","443.72","444.51"
07/21/1993,"447.18","447.50","445.84","447.18"
07/20/1993,"447.31","447.63","443.71","447.31"
07/19/1993,"446.03","446.78","444.83","446.03"
07/16/1993,"445.75","449.22","445.66","445.75"
07/15/1993,"449.22","450.12","447.26","449.22"
07/14/1993,"450.08","451.12","448.08","450.08"
07/13/1993,"448.09","450.70","448.07","448.09"
07/12/1993,"448.98","449.11","447.71","448.98"
07/09/1993,"448.13","448.96","446.74","448.13"
07/08/1993,"448.64","448.64","442.83","448.64"
07/07/1993,"442.83","443.63","441.40","442.83"
07/06/1993,"441.43","446.87","441.42","441.43"
07/02/1993,"445.84","449.02","445.20","445.84"
07/01/1993,"449.02","451.15","448.71","449.02"
06/30/1993,"450.53","451.47","450.15","450.53"
06/29/1993,"450.69","451.90","449.67","450.69"
06/28/1993,"451.85","451.90","447.60","451.85"
06/25/1993,"447.60","448.64","446.62","447.60"
06/24/1993,"446.62","447.21","442.50","446.62"
06/23/1993,"443.19","445.96","443.19","443.19"
06/22/1993,"445.93","446.29","444.94","445.93"
06/21/1993,"446.22","446.22","443.68","446.22"
06/18/1993,"443.68","448.59","443.68","443.68"
06/17/1993,"448.54","448.98","446.91","448.54"
06/16/1993,"447.43","447.43","443.61","447.43"
06/15/1993,"446.27","448.28","446.18","446.27"
06/14/1993,"447.71","448.64","447.23","447.71"
06/11/1993,"447.26","448.19","445.38","447.26"
06/10/1993,"445.38","446.22","444.09","445.38"
06/09/1993,"445.78","447.39","444.66","445.78"
06/08/1993,"444.71","447.69","444.31","444.71"
06/07/1993,"447.69","450.75","447.32","447.69"
06/04/1993,"450.06","452.49","448.92","450.06"
06/03/1993,"452.49","453.85","451.12","452.49"
06/02/1993,"453.85","454.53","452.68","453.85"
06/01/1993,"453.83","455.63","450.19","453.83"
05/28/1993,"450.19","452.41","447.67","450.19"
05/27/1993,"452.41","454.55","451.14","452.41"
05/26/1993,"453.44","453.51","448.82","453.44"
05/25/1993,"448.85","449.04","447.70","448.85"
05/24/1993,"448.00","448.44","445.26","448.00"
05/21/1993,"445.84","450.59","444.89","445.84"
05/20/1993,"450.59","450.59","447.36","450.59"
05/19/1993,"447.57","447.86","436.86","447.57"
05/18/1993,"440.32","441.26","437.95","440.32"
05/17/1993,"440.37","440.38","437.83","440.37"
05/14/1993,"439.56","439.82","438.10","439.56"
05/13/1993,"439.23","444.80","439.23","439.23"
05/12/1993,"444.80","445.16","442.87","444.80"
05/11/1993,"444.36","444.57","441.52","444.36"
05/10/1993,"442.80","445.42","442.05","442.80"
05/07/1993,"442.31","443.70","441.69","442.31"
05/06/1993,"443.26","444.81","442.90","443.26"
05/05/1993,"444.52","446.09","443.76","444.52"
05/04/1993,"444.05","445.19","442.45","444.05"
05/03/1993,"442.46","442.59","438.25","442.46"
04/30/1993,"440.19","442.29","438.89","440.19"
04/29/1993,"438.89","438.96","435.59","438.89"
04/28/1993,"438.02","438.80","436.68","438.02"
04/27/1993,"438.01","438.02","433.14","438.01"
04/26/1993,"433.54","438.35","432.30","433.54"
04/23/1993,"437.03","439.48","436.82","437.03"
