Date,Open,High,Low,Close
12/31/1986,"242.17","244.03","241.28","242.17"
12/30/1986,"243.37","244.62","243.12","243.37"
12/29/1986,"244.67","246.92","244.42","244.67"
12/26/1986,"246.92","246.92","246.80","246.92"
12/24/1986,"246.75","247.13","246.13","246.75"
12/23/1986,"246.34","248.72","245.97","246.34"
12/22/1986,"248.75","249.63","247.50","248.75"
12/19/1986,"249.73","249.86","245.98","249.73"
12/18/1986,"246.78","247.78","246.53","246.78"
12/17/1986,"247.56","249.94","247.31","247.56"
12/16/1986,"250.04","250.04","247.42","250.04"
12/15/1986,"248.21","248.21","245.09","248.21"
12/12/1986,"247.35","248.23","247.10","247.35"
12/11/1986,"248.17","250.92","247.17","248.17"
12/10/1986,"250.96","251.46","248.96","250.96"
12/09/1986,"249.28","251.16","249.28","249.28"
12/08/1986,"251.16","252.29","248.91","251.16"
12/05/1986,"251.17","253.80","250.80","251.17"
12/04/1986,"253.04","254.42","252.92","253.04"
12/03/1986,"253.85","254.85","253.35","253.85"
12/02/1986,"254.00","254.00","249.13","254.00"
12/01/1986,"249.05","249.18","245.80","249.05"
11/28/1986,"249.22","249.22","248.10","249.22"
11/26/1986,"248.77","248.90","247.77","248.77"
11/25/1986,"248.17","248.17","246.42","248.17"
11/24/1986,"247.45","247.95","245.33","247.45"
11/21/1986,"245.86","246.36","241.99","245.86"
11/20/1986,"242.05","242.05","237.68","242.05"
11/19/1986,"237.66","237.91","235.54","237.66"
11/18/1986,"236.78","243.16","236.66","236.78"
11/17/1986,"243.21","244.71","242.34","243.21"
11/14/1986,"244.50","244.50","242.00","244.50"
11/13/1986,"243.02","246.65","243.02","243.02"
11/12/1986,"246.64","247.64","245.77","246.64"
11/11/1986,"247.08","247.08","246.21","247.08"
11/10/1986,"246.13","246.13","244.76","246.13"
11/07/1986,"245.77","246.02","245.02","245.77"
11/06/1986,"245.87","246.87","244.62","245.87"
11/05/1986,"246.58","246.96","245.33","246.58"
11/04/1986,"246.20","246.33","244.45","246.20"
11/03/1986,"245.80","245.80","244.05","245.80"
10/31/1986,"243.98","244.48","242.98","243.98"
10/30/1986,"243.71","243.96","240.96","243.71"
10/29/1986,"240.94","240.94","239.07","240.94"
10/28/1986,"239.26","240.51","238.89","239.26"
10/27/1986,"238.77","238.77","236.77","238.77"
10/24/1986,"238.26","239.64","238.26","238.26"
10/23/1986,"239.28","239.66","236.28","239.28"
10/22/1986,"236.26","236.64","235.89","236.26"
10/21/1986,"235.88","236.38","235.01","235.88"
10/20/1986,"235.97","238.72","234.85","235.97"
10/17/1986,"238.84","239.47","237.72","238.84"
10/16/1986,"239.53","240.16","238.91","239.53"
10/15/1986,"238.80","238.93","235.43","238.80"
10/14/1986,"235.37","236.37","234.37","235.37"
10/13/1986,"235.91","235.91","235.04","235.91"
10/10/1986,"235.48","236.23","235.36","235.48"
10/09/1986,"235.85","238.10","235.73","235.85"
10/08/1986,"236.68","236.81","233.68","236.68"
10/07/1986,"234.41","235.16","233.54","234.41"
10/06/1986,"234.78","235.28","233.28","234.78"
10/03/1986,"233.71","236.09","232.84","233.71"
10/02/1986,"233.92","234.30","232.80","233.92"
10/01/1986,"233.60","234.60","231.35","233.60"
09/30/1986,"231.32","232.95","229.95","231.32"
09/29/1986,"229.91","232.16","228.16","229.91"
09/26/1986,"232.23","233.61","230.73","232.23"
09/25/1986,"231.83","236.21","230.71","231.83"
09/24/1986,"236.28","237.03","235.53","236.28"
09/23/1986,"235.67","235.80","234.55","235.67"
09/22/1986,"234.93","234.93","232.31","234.93"
09/19/1986,"232.21","232.21","230.71","232.21"
09/18/1986,"232.31","232.81","230.69","232.31"
09/17/1986,"231.68","233.81","231.43","231.68"
09/16/1986,"231.72","231.85","228.35","231.72"
09/15/1986,"231.94","232.82","229.44","231.94"
09/12/1986,"230.67","235.42","228.80","230.67"
09/11/1986,"235.18","247.06","234.68","235.18"
09/10/1986,"247.06","247.69","246.19","247.06"
09/09/1986,"247.67","250.17","247.05","247.67"
09/08/1986,"248.14","250.39","247.14","248.14"
09/05/1986,"250.47","254.10","250.35","250.47"
09/04/1986,"253.83","253.96","250.08","253.83"
09/03/1986,"250.08","250.08","247.71","250.08"
09/02/1986,"248.52","253.27","248.15","248.52"
08/29/1986,"252.93","254.06","251.81","252.93"
08/28/1986,"252.84","253.59","251.97","252.84"
08/27/1986,"253.30","254.18","252.68","253.30"
08/26/1986,"252.84","252.84","247.84","252.84"
08/25/1986,"247.81","250.19","247.81","247.81"
08/22/1986,"250.19","250.57","249.32","250.19"
