Date,Open,High,Low,Close
12/31/1985,"211.28","211.66","210.78","211.28"
12/30/1985,"210.68","210.68","209.18","210.68"
12/27/1985,"209.61","209.61","207.74","209.61"
12/26/1985,"207.65","207.65","207.15","207.65"
12/24/1985,"207.14","208.52","206.52","207.14"
12/23/1985,"208.57","210.82","208.45","208.57"
12/20/1985,"210.94","211.69","210.07","210.94"
12/19/1985,"210.02","210.02","209.27","210.02"
12/18/1985,"209.81","211.19","209.31","209.81"
12/17/1985,"210.65","212.40","210.65","210.65"
12/16/1985,"212.02","213.02","210.02","212.02"
12/13/1985,"209.94","210.19","206.82","209.94"
12/12/1985,"206.73","207.61","205.86","206.73"
12/11/1985,"206.31","206.56","204.19","206.31"
12/10/1985,"204.39","205.14","203.77","204.39"
12/09/1985,"204.25","204.25","203.00","204.25"
12/06/1985,"202.99","203.87","202.49","202.99"
12/05/1985,"203.88","205.76","203.88","203.88"
12/04/1985,"204.23","204.23","200.98","204.23"
12/03/1985,"200.86","200.86","200.11","200.86"
12/02/1985,"200.46","202.09","200.21","200.46"
11/29/1985,"202.17","203.30","201.92","202.17"
11/27/1985,"202.54","202.54","200.79","202.54"
11/26/1985,"200.67","201.05","200.17","200.67"
11/25/1985,"200.35","201.48","200.10","200.35"
11/22/1985,"201.52","201.90","201.15","201.52"
11/21/1985,"201.41","201.41","199.04","201.41"
11/20/1985,"198.99","199.12","198.62","198.99"
11/19/1985,"198.67","199.42","198.05","198.67"
11/18/1985,"198.71","198.71","197.59","198.71"
11/15/1985,"198.11","199.49","197.99","198.11"
11/14/1985,"199.06","199.19","196.94","199.06"
11/13/1985,"197.10","198.10","196.98","197.10"
11/12/1985,"198.08","198.58","197.08","198.08"
11/11/1985,"197.28","197.29","193.79","197.28"
11/08/1985,"193.72","193.97","192.60","193.72"
11/07/1985,"192.62","192.87","192.25","192.62"
11/06/1985,"192.76","193.01","191.89","192.76"
11/05/1985,"192.37","192.37","191.00","192.37"
11/04/1985,"191.25","191.88","190.75","191.25"
11/01/1985,"191.53","191.53","189.41","191.53"
10/31/1985,"189.82","190.95","189.45","189.82"
10/30/1985,"190.07","190.07","189.20","190.07"
10/29/1985,"189.23","189.73","187.86","189.23"
10/28/1985,"187.76","187.76","187.01","187.76"
10/25/1985,"187.52","188.40","187.40","187.52"
10/24/1985,"188.50","189.38","188.50","188.50"
10/23/1985,"189.09","189.09","188.09","189.09"
10/22/1985,"188.04","188.54","187.04","188.04"
10/21/1985,"186.96","187.21","186.84","186.96"
10/18/1985,"187.04","188.04","186.92","187.04"
10/17/1985,"187.66","188.41","187.54","187.66"
10/16/1985,"187.98","187.98","186.11","187.98"
10/15/1985,"186.08","187.08","185.71","186.08"
10/14/1985,"186.37","186.37","184.37","186.37"
10/11/1985,"184.28","184.28","182.66","184.28"
10/10/1985,"182.78","182.78","182.16","182.78"
10/09/1985,"182.52","183.27","181.90","182.52"
10/08/1985,"181.87","182.25","181.25","181.87"
10/07/1985,"181.87","183.12","181.37","181.87"
10/04/1985,"183.22","184.35","182.72","183.22"
10/03/1985,"184.36","185.11","183.61","184.36"
10/02/1985,"184.06","185.94","184.06","184.06"
10/01/1985,"185.07","185.07","182.07","185.07"
09/30/1985,"182.08","182.08","181.33","182.08"
09/26/1985,"181.29","181.29","179.54","181.29"
09/25/1985,"180.66","182.54","180.66","180.66"
09/24/1985,"182.62","184.25","182.50","182.62"
09/23/1985,"184.30","184.55","182.05","184.30"
09/20/1985,"182.05","183.93","182.05","182.05"
09/19/1985,"183.39","183.39","181.77","183.39"
09/18/1985,"181.71","181.71","180.84","181.71"
09/17/1985,"181.36","182.86","180.86","181.36"
09/16/1985,"182.88","182.88","182.51","182.88"
09/13/1985,"182.91","184.16","182.16","182.91"
09/12/1985,"183.69","185.19","183.57","183.69"
09/11/1985,"185.03","186.78","184.91","185.03"
09/10/1985,"186.90","188.15","186.53","186.90"
09/09/1985,"188.25","188.75","188.00","188.25"
09/06/1985,"188.24","188.37","187.37","188.24"
09/05/1985,"187.27","187.52","186.90","187.27"
09/04/1985,"187.37","187.87","187.00","187.37"
09/03/1985,"187.91","188.54","187.41","187.91"
08/30/1985,"188.63","189.13","188.01","188.63"
08/29/1985,"188.93","188.93","188.43","188.93"
08/28/1985,"188.83","188.83","187.96","188.83"
08/27/1985,"188.10","188.10","187.35","188.10"
08/26/1985,"187.31","187.44","186.56","187.31"
08/23/1985,"187.17","187.30","186.67","187.17"
08/22/1985,"187.36","189.11","187.24","187.36"
08/21/1985,"189.16","189.16","188.16","189.16"
08/20/1985,"188.08","188.21","186.46","188.08"
08/19/1985,"186.38","186.64","186.39","186.38"
08/16/1985,"186.10","186.10","186.10","186.10"
08/15/1985,"187.26","187.64","186.64","187.26"
08/14/1985,"187.41","187.79","187.41","187.41"
08/13/1985,"187.30","188.05","186.55","187.30"
08/12/1985,"187.63","188.26","187.51","187.63"
08/09/1985,"188.32","188.95","188.20","188.32"
08/08/1985,"188.95","188.95","187.70","188.95"
08/07/1985,"187.68","187.93","187.43","187.68"
08/06/1985,"187.93","190.68","187.93","187.93"
08/05/1985,"190.62","191.37","190.00","190.62"
08/02/1985,"191.48","192.11","191.36","191.48"
