Date,Open,High,Low,Close
12/31/1982,"140.64","141.63","139.45","140.64"
12/30/1982,"140.33","142.46","139.57","140.33"
12/29/1982,"141.24","142.49","139.71","141.24"
12/28/1982,"140.77","142.33","141.23","140.77"
12/27/1982,"142.18","143.02","139.15","142.18"
12/23/1982,"139.72","140.98","139.72","139.72"
12/22/1982,"138.83","140.86","137.30","138.83"
12/21/1982,"138.61","139.41","135.09","138.61"
12/20/1982,"136.26","138.82","135.40","136.26"
12/17/1982,"137.49","138.57","134.84","137.49"
12/16/1982,"135.30","137.01","133.76","135.30"
12/15/1982,"135.24","137.89","134.16","135.24"
12/14/1982,"137.39","143.00","136.79","137.39"
12/13/1982,"139.95","141.19","138.45","139.95"
12/10/1982,"139.57","142.09","138.17","139.57"
12/09/1982,"140.00","142.67","138.27","140.00"
12/08/1982,"141.81","144.65","140.82","141.81"
12/07/1982,"142.72","144.63","140.74","142.72"
12/06/1982,"141.77","141.77","138.07","141.77"
12/03/1982,"138.69","140.57","137.74","138.69"
12/02/1982,"138.82","140.56","137.64","138.82"
12/01/1982,"138.72","141.24","137.31","138.72"
11/30/1982,"138.54","138.98","133.45","138.54"
11/29/1982,"134.20","135.99","133.04","134.20"
11/26/1982,"134.88","135.63","133.52","134.88"
11/24/1982,"133.88","134.87","132.15","133.88"
11/23/1982,"132.93","135.12","132.09","132.93"
11/22/1982,"134.22","137.49","133.74","134.22"
11/19/1982,"137.02","139.77","136.33","137.02"
11/18/1982,"138.34","139.60","136.68","138.34"
11/17/1982,"137.93","138.97","135.66","137.93"
11/16/1982,"135.42","137.28","132.98","135.42"
11/15/1982,"137.03","138.90","135.79","137.03"
11/12/1982,"139.53","142.74","138.76","139.53"
11/11/1982,"141.76","142.38","138.78","141.76"
11/10/1982,"141.16","144.16","141.61","141.16"
11/09/1982,"143.02","144.03","139.86","143.02"
11/08/1982,"140.44","142.02","138.33","140.44"
11/05/1982,"142.16","143.59","140.25","142.16"
11/04/1982,"141.85","143.71","143.11","141.85"
11/03/1982,"142.87","143.51","137.28","142.87"
11/02/1982,"137.49","139.31","135.72","137.49"
11/01/1982,"135.47","136.06","132.54","135.47"
10/29/1982,"133.71","134.82","131.67","133.71"
10/28/1982,"133.59","136.20","132.90","133.59"
10/27/1982,"135.28","136.95","133.56","135.28"
10/26/1982,"134.48","135.29","130.74","134.48"
10/25/1982,"133.32","136.97","132.54","133.32"
10/22/1982,"138.83","141.40","137.48","138.83"
10/21/1982,"139.06","144.38","136.76","139.06"
10/20/1982,"139.23","139.68","135.47","139.23"
10/19/1982,"136.58","138.81","134.93","136.58"
10/18/1982,"136.73","137.47","133.23","136.73"
10/15/1982,"133.57","135.30","132.05","133.57"
10/14/1982,"134.57","138.01","133.86","134.57"
10/13/1982,"136.71","137.14","134.25","136.71"
10/12/1982,"134.44","135.81","133.64","134.44"
10/11/1982,"134.47","135.48","132.63","134.47"
10/08/1982,"131.05","132.06","127.22","131.05"
10/07/1982,"128.81","139.27","126.80","128.81"
10/06/1982,"125.97","126.33","121.82","125.97"
10/05/1982,"121.98","123.42","121.00","121.98"
